company_name,salary,year,edu,job_name,pos_count,salary_lower,salary_upper,city
软通动力集团,12.5,1-3年,本科,python开发,2,10,15,成都
思湃德,30.0,3-5年,本科,python,5,20,40,成都
源码时代,17.5,3-5年,大专,python 讲师,3,15,20,成都
三源合众,8.0,1年以内,本科,python,1,6,10,成都
软通动力,10.5,1-3年,本科,python开发,3,8,13,成都
中佳业,7.5,3-5年,大专,c++/python,4,7,8,成都
知行天下,9.5,1年以内,大专,python讲师,1,7,12,成都
川大智胜,10.5,3-5年,本科,python,1,8,13,成都
电科荷福研究院,9.5,3-5年,本科,python后端开发,6,7,12,成都
傲梦网络科技,5.5,经验不限,本科,python线上试听课老师,6,3,8,成都
欧督系统科技,20.0,1-3年,本科,python开发,3,18,22,成都
成都贝尔,9.5,1-3年,本科,python开发工程师,3,8,11,成都
华为成都,26.0,3-5年,本科,c++ 成都_招聘java python c++软件工程师,6,22,30,成都
傲梦网络科技,7.5,经验不限,本科,python少儿讲师,3,5,10,成都
宝高科技,22.5,3-5年,大专,python开发工程师,2,15,30,成都
源码时代,15.0,3-5年,大专,python自动化测试讲师,3,12,18,成都
中电四川数据,12.5,3-5年,本科,python工程师,1,10,15,成都
龙渊网络科技有限公司,12.5,3-5年,本科,python开发工程师,4,10,15,成都
普捷,12.5,1-3年,大专,python开发工程师,1,10,15,成都
智库2861,15.5,3-5年,本科,python爬虫工程师,3,11,20,成都
成都链安科技,12.5,1-3年,本科,python软件工程师,5,10,15,成都
西瓜创客,8.0,经验不限,本科,python编程策划,3,6,10,成都
ThoughtWorks,15.0,经验不限,学历不限,后端开发（java c# python ruby）,6,10,20,成都
华为成都,26.0,3-5年,本科,java 成都_急招java python c++工程师,2,22,30,成都
传奇永恒科技,26.5,经验不限,本科,python开发工程师,4,18,35,成都
龙之力,17.5,5年以上,本科,运维开发工程师（高级python工程师）,5,15,20,成都
智云链,5.5,3-5年,大专,高薪诚聘开发工程师（odoo、python）,6,5,6,成都
华为成都,26.0,3-5年,本科,急招java、python、c、c++中高级软件工程师,2,22,30,成都
智库2861,20.0,3-5年,本科,高级python爬虫工程师,1,15,25,成都
无糖信息(NoSugar),11.5,3-5年,大专,高级python开发工程师,2,9,14,成都
华为成都,25.0,3-5年,本科,python成都_招聘java python c++开发工程师,6,20,30,成都
欧督系统科技,12.5,3-5年,本科,python开发工程师,5,10,15,成都
西南凯亚,9.0,5年以上,本科,高级python自动化开发工程师,1,8,10,成都
今日头条,22.5,应届生,本科,后台研发工程师-python/go 方向,6,15,30,成都
封面新闻,15.5,1-3年,本科,python开发工程师,6,11,20,成都
越凡创新,10.5,1-3年,本科,python开发高级工程师,3,8,13,成都
传不科技,5.5,1-3年,大专,数据分析师/python爬虫数据采集,5,4,7,成都
中森云链,8.5,1-3年,大专,python/c++/少儿编程老师,5,7,10,成都
知道创宇,10.0,1-3年,本科,python研发工程师,2,8,12,成都
Dell,17.5,5年以上,研究生,高级软件开发工程师-python/linux,6,15,20,成都
中国网安,12.5,3-5年,本科,python开发工程师,5,10,15,成都
北航西部创新港,18.0,经验不限,研究生,python,5,12,24,成都
北航西部创新港,22.5,3-5年,研究生,python,3,15,30,成都
北航西部创新港,15.0,1-3年,研究生,python全栈工程师,4,10,20,成都
龙渊网络科技有限公司,12.5,3-5年,本科,python工程师,1,10,15,成都
华邑,3.0,经验不限,大专,python实习,1,2,4,成都
大汇智安,12.5,3-5年,本科,python开发工程师,2,10,15,成都
众蓝科技成都分公司,16.0,1-3年,本科,python高级开发工程师,5,12,20,成都
汇合发展,12.5,3-5年,本科,python后端开发工程师,5,10,15,成都
活动家,7.5,经验不限,学历不限,python高级开发工程师,1,6,9,成都
千里码教育有限公司,6.5,1年以内,本科,python老师,5,4,9,成都
华企网通,10.5,3-5年,大专,python高级工程师,2,7,14,成都
四川智捷天成,6.5,1-3年,本科,python,1,5,8,成都
烽台科技,9.5,经验不限,本科,python后端开发,2,7,12,成都
仁和安信,7.5,1-3年,本科,python,6,6,9,成都
保源酷码科技,10.0,3-5年,本科,python,5,8,12,成都
仁和安信,8.5,3-5年,大专,python工程师,5,6,11,成都
汇智动力,15.0,3-5年,本科,python讲师,6,10,20,成都
欧督系统科技,9.5,1-3年,本科,python开发工程师,2,8,11,成都
智龙网景,10.5,1-3年,本科,python工程师,4,8,13,成都
