company_name,uri,salary,site,year,edu,job_name,city,pos_count
中国电信云,https://www.zhipin.com/job_detail/11266fc18dc167570nd60t--ElY~.html,20-40K·17薪,北京 海淀区 西山,经验不限,本科,Python,beijing,1
奇虎360,https://www.zhipin.com/job_detail/2a3103941dc27a5d03142di7FFo~.html,20-40K·15薪,北京 朝阳区 酒仙桥,3-5年,大专,Python,beijing,6
VIPKID,https://www.zhipin.com/job_detail/2dd7f2760947d7cd03By3dS6E1I~.html,20-40K·14薪,北京 朝阳区 十里堡,5-10年,本科,Python,beijing,4
天阳科技,https://www.zhipin.com/job_detail/a0c8485a448be55603d_3N21F1A~.html,12-24K,北京 石景山区 八宝山,1-3年,本科,python工程师,beijing,2
武汉佰钧成,https://www.zhipin.com/job_detail/d6627bf7c1e22d290nV63tu6EFo~.html,12-17K,北京 朝阳区 三元桥,3-5年,大专,python开发,beijing,3
芸品绿,https://www.zhipin.com/job_detail/520b2ddc770957470nR53Nu5EVc~.html,15-25K,北京 朝阳区 酒仙桥,5-10年,大专,Python,beijing,5
开课吧,https://www.zhipin.com/job_detail/c4c59bbe008ec0be0nV409S6Flc~.html,16-30K,北京 海淀区 上地,应届生,本科,Python教研,beijing,6
逸驾智能,https://www.zhipin.com/job_detail/9de91d5456bba4ad0nR53N69E1I~.html,15-22K·15薪,北京 朝阳区 酒仙桥,1-3年,本科,Python工程师,beijing,6
中睿天下,https://www.zhipin.com/job_detail/720b4fed5091a9371XF_3NS_EFs~.html,15-30K,北京 海淀区 上地,3-5年,本科,Python,beijing,6
乐博乐博机器人,https://www.zhipin.com/job_detail/16a56a145263195c1HZ53ty5Elo~.html,8-10K,北京 西城区 德外大街,1年以内,本科,Python,beijing,1
绛门科技,https://www.zhipin.com/job_detail/84812558385f2da603Vz39W6FlY~.html,8-10K,北京 朝阳区 酒仙桥,1-3年,本科,python,beijing,1
旷视MEGVII,https://www.zhipin.com/job_detail/4886e8c24ba6b17103Bz39-1FlI~.html,20-30K,北京 海淀区 中关村,3-5年,本科,Python 开发,beijing,5
搜狐媒体,https://www.zhipin.com/job_detail/727fb4d2f9a7d8be031_0t6_EVM~.html,15-25K·14薪,北京 海淀区 中关村,3-5年,本科,Python后端开发,beijing,5
小药药,https://www.zhipin.com/job_detail/a948bd1fe3b8c767031_3du6EVM~.html,18-30K,北京 朝阳区 望京,3-5年,本科,Python工程师,beijing,3
厨芯,https://www.zhipin.com/job_detail/eeb4d3ff0ebc4a9803x40966GVQ~.html,15-25K,北京 顺义区 后沙峪,3-5年,本科,Python开发工程师,beijing,4
国美金控,https://www.zhipin.com/job_detail/02b9b99f421c7de01XR52NS5GVI~.html,30-50K,北京 朝阳区 亮马桥,5-10年,硕士,Python,beijing,6
绛门科技,https://www.zhipin.com/job_detail/0facc8da4d2b97d503R60t26FFo~.html,7-12K,北京 朝阳区 酒仙桥,3-5年,本科,python开发,beijing,5
智牛数字科技,https://www.zhipin.com/job_detail/0400710734ab838c0nZ43tu5EFo~.html,30-50K·15薪,北京 朝阳区 望京,5-10年,本科,python,beijing,2
京东集团,https://www.zhipin.com/job_detail/c20830e34f67c68303Jy3d6-EFE~.html,20-40K·14薪,北京  ,3-5年,本科,Python后端开发,beijing,2
旷视MEGVII,https://www.zhipin.com/job_detail/b29161328ac19a8503x-39y1FFU~.html,20-21K,北京 海淀区 中关村,1-3年,本科,python全栈工程师,beijing,5
东信北邮,https://www.zhipin.com/job_detail/31145433436c236d1HR609-9FlI~.html,5-10K,北京 海淀区 知春路,经验不限,本科,Python研发工程师,beijing,6
舞水软件科技,https://www.zhipin.com/job_detail/6cb60575eb2264fe1XR73t6_GFQ~.html,20-21K,北京 海淀区 万柳,经验不限,本科,Python(兼职),beijing,4
老男孩IT教育,https://www.zhipin.com/job_detail/3b8dd750ef880be21nRy39W5F1Q~.html,20-25K,北京 昌平区 沙河,1-3年,本科,Python讲师,beijing,2
58集团,https://www.zhipin.com/job_detail/efe51f122d2b60701nN_2t29FFY~.html,15-30K·15薪,北京 朝阳区 酒仙桥,1-3年,本科,Python,beijing,5
金泰亚盛,https://www.zhipin.com/job_detail/b70418289c6ca85803Fy2NS6GVM~.html,15-17K,北京 顺义区 后沙峪,3-5年,本科,Python,beijing,6
法本,https://www.zhipin.com/job_detail/9e1aab64fe8243581Hx83t65FlM~.html,15-25K,北京 朝阳区 望京,3-5年,本科,Python开发工程师,beijing,1
旷视科技(Face++),https://www.zhipin.com/job_detail/89873465ed6c632803Jz2tW4Els~.html,20-40K,北京 海淀区 中关村,5-10年,本科,Python开发工程师,beijing,5
慧脑云,https://www.zhipin.com/job_detail/842ba302a7ffcd2503192d65GFs~.html,15-30K,北京 海淀区 圆明园,3-5年,本科,Python后端研发工程师,beijing,5
腾讯,https://www.zhipin.com/job_detail/c5bb100956099be403Z73Ny-F1Y~.html,30-50K·16薪,北京 海淀区 知春路,3-5年,本科,python后台开发（北京）,beijing,5
展旗科技,https://www.zhipin.com/job_detail/e717423b7631ad150nR50tW7Els~.html,40-70K·13薪,北京 朝阳区 北苑,5-10年,本科,Python技术总监,beijing,5
鹏博士,https://www.zhipin.com/job_detail/2bcb630da3281ab00nV52ty7F1o~.html,13-23K,北京 东城区 和平里,经验不限,本科,Python开发工程师,beijing,2
网易,https://www.zhipin.com/job_detail/6078c5f11f7f26641XR43tm1EFY~.html,30-60K,北京 海淀区 上地,5-10年,本科,资深Python 开发工程师,beijing,3
傲梦网络科技,https://www.zhipin.com/job_detail/adc93035104257c91HZ62t-6F1c~.html,5-9K,北京 朝阳区 东大桥,经验不限,本科,python编程老师,beijing,4
中金标准数据,https://www.zhipin.com/job_detail/c02ff5fceba05ab60nB_09m9FQ~~.html,10-20K,北京 丰台区 科技园区,1-3年,本科,Python,beijing,3
智胜新格,https://www.zhipin.com/job_detail/ad68c7e01a6412e21XV62di1E1U~.html,15-30K,北京 海淀区 五道口,1-3年,本科,Python开发,beijing,4
CSDN,https://www.zhipin.com/job_detail/221e6a2154ba29d31HJ90tq_E1Y~.html,15-30K,北京 朝阳区 酒仙桥,3-5年,本科,Python讲师,beijing,4
