company_name,uri,salary,site,year,edu,job_name,city,pos_count
软通动力集团,https://www.zhipin.com/job_detail/7ece55fbcbf7a6031HRy0ti-FlY~.html,10-15K,成都 武侯区 草金立交,1-3年,本科,python开发,chengdu,2
思湃德,https://www.zhipin.com/job_detail/760b2b05535c8a4d1n1629W9GFQ~.html,20-40K,成都 双流区 华阳,3-5年,本科,Python,chengdu,5
源码时代,https://www.zhipin.com/job_detail/9575f02d9a9ff2c01HV83d-0F1Y~.html,15-20K,成都 武侯区 石羊,3-5年,大专,python 讲师,chengdu,3
三源合众,https://www.zhipin.com/job_detail/912b6da8b12fb1861nJ_3NS8FFs~.html,6-10K,成都 武侯区 新会展,1年以内,本科,Python,chengdu,1
软通动力,https://www.zhipin.com/job_detail/c61ef9b261da28081HRy0tq-FlQ~.html,8-13K,成都 武侯区 机投,1-3年,本科,python开发,chengdu,3
中佳业,https://www.zhipin.com/job_detail/4fbb387a96ff7f730nR_2t20FFc~.html,7-8K·13薪,成都 武侯区 肖家河,3-5年,大专,C++/Python,chengdu,4
知行天下,https://www.zhipin.com/job_detail/17fe77fdd3b119831Hd709--E1A~.html,7-12K,成都 龙泉驿区 龙泉,1年以内,大专,Python讲师,chengdu,1
川大智胜,https://www.zhipin.com/job_detail/77186b69e91538e103J40tu6GVU~.html,8-13K,成都 武侯区 保利花园,3-5年,本科,Python,chengdu,1
电科荷福研究院,https://www.zhipin.com/job_detail/586d4207f3d7cbde0nV50tq5Elc~.html,7-12K,成都 郫都区 高新西,3-5年,本科,python后端开发,chengdu,6
傲梦网络科技,https://www.zhipin.com/job_detail/dafa272932d0b0570nR63Ny4ElU~.html,3-8K,成都 武侯区 高升桥,经验不限,本科,python线上试听课老师,chengdu,6
欧督系统科技,https://www.zhipin.com/job_detail/8fbdebb729c0f4bf1XN-29q6EVU~.html,18-22K,成都 武侯区 新会展,1-3年,本科,python开发,chengdu,3
成都贝尔,https://www.zhipin.com/job_detail/7056c5efbd8ff2571Hd7292-Els~.html,8-11K,成都 双流区 华阳,1-3年,本科,Python开发工程师,chengdu,3
华为成都,https://www.zhipin.com/job_detail/fcfd27b25655f96b03Rz3dS-FFM~.html,22-30K,成都  ,3-5年,本科,C++ 成都_招聘Java Python C++软件工程师,chengdu,6
傲梦网络科技,https://www.zhipin.com/job_detail/03ebb9949afeea4a03B429S7Elc~.html,5-10K,成都 武侯区 高升桥,经验不限,本科,Python少儿讲师,chengdu,3
宝高科技,https://www.zhipin.com/job_detail/b666297a3d8d610f03J-3dW4FVs~.html,15-30K·13薪,成都 武侯区 新会展,3-5年,大专,python开发工程师,chengdu,2
源码时代,https://www.zhipin.com/job_detail/feedd8a2339db8171HR52d-_E1Q~.html,12-18K,成都 武侯区 石羊,3-5年,大专,python自动化测试讲师,chengdu,3
中电四川数据,https://www.zhipin.com/job_detail/9b73b94ed4111bd203N-0tW8GVM~.html,10-15K,成都 武侯区 石羊,3-5年,本科,Python工程师,chengdu,1
龙渊网络科技有限公司,https://www.zhipin.com/job_detail/b02678d008956a780nd62d21Elo~.html,10-15K,成都 武侯区 大源,3-5年,本科,Python开发工程师,chengdu,4
普捷,https://www.zhipin.com/job_detail/9c77bbf5f391fed20nV629u0GVI~.html,10-15K,成都 武侯区 金融城,1-3年,大专,Python开发工程师,chengdu,1
