company_name,uri,salary,site,year,edu,job_name,city,pos_count
富融,https://www.zhipin.com/job_detail/2c39bf87449d21cf03Ny3Ny5EFI~.html,6-8K,广州 越秀区 五羊新城,1-3年,本科,Python,guangzhou,3
购翠网,https://www.zhipin.com/job_detail/1e4af232f3e1182a0nV80t-8EFM~.html,18-28K,广州 荔湾区 西关,经验不限,大专,Python,guangzhou,4
网易游戏,https://www.zhipin.com/job_detail/3d3d4db5a2a41dbd03N92969FlM~.html,13-25K,广州  ,3-5年,本科,BI/Python开发工程师,guangzhou,3
美亚商旅集团,https://www.zhipin.com/job_detail/7e5762e19c0f784e1XB50ti5ElI~.html,7-12K,广州  ,3-5年,大专,Python开发工程师,guangzhou,5
优德,https://www.zhipin.com/job_detail/4c083d704ac23f321XR52tm0FVQ~.html,5-10K,广州 海珠区 新港,经验不限,大专,Python工程师,guangzhou,5
武汉佰钧成,https://www.zhipin.com/job_detail/07fdb17356afbc8103B539q1EFI~.html,15-19K,广州  ,3-5年,本科,python开发工程师,guangzhou,5
网易杭州,https://www.zhipin.com/job_detail/4c2ba00b06329eb503Ny0t26GFU~.html,15-30K·16薪,广州 天河区 珠江新城,经验不限,本科,python服务端开发工程师,guangzhou,1
黄橘子科技,https://www.zhipin.com/job_detail/94d25a66f546e29e1Hx50t2_EVE~.html,6-10K,广州 天河区 天河公园,1-3年,大专,Python,guangzhou,3
西洋汇,https://www.zhipin.com/job_detail/2a1e5ce5b442203203F73N--F1c~.html,10-15K,广州 海珠区 南洲,3-5年,本科,Python工程师,guangzhou,3
嘉为科技,https://www.zhipin.com/job_detail/edb83d5d1011618d03d60ty8EVo~.html,9-14K·13薪,广州 天河区 体育中心,1-3年,本科,Python开发工程师,guangzhou,5
西洋汇,https://www.zhipin.com/job_detail/54a3f02d18b0f91f03F73N--F1A~.html,10-15K,广州 海珠区 南洲,3-5年,本科,Python工程师,guangzhou,4
省省回头车,https://www.zhipin.com/job_detail/bbb35bb10308c6cd03x-2Nm4FFI~.html,15-25K·13薪,广州 天河区 车陂,3-5年,大专,python开发工程师,guangzhou,3
wlaike,https://www.zhipin.com/job_detail/b6c88a0d6bd7bfd703F639u9EFo~.html,24-35K·16薪,广州 天河区 员村,1-3年,本科,Python开发工程,guangzhou,3
传智播客,https://www.zhipin.com/job_detail/e2559ab92ab33db803Zz2tW1FVE~.html,25-40K,广州 天河区 东圃,5-10年,大专,python人工智能讲师,guangzhou,1
有米科技,https://www.zhipin.com/job_detail/59fa280b889875e11XV40ty8EFM~.html,12-20K,广州 番禺区 大学城,1-3年,本科,Python 爬虫工程师,guangzhou,2
京信通信集团,https://www.zhipin.com/job_detail/72f94cfb2fa7333403N43dq4GVU~.html,10-15K·13薪,广州 黄埔区 科学城,1-3年,本科,软件工程师（Python）,guangzhou,4
省省回头车,https://www.zhipin.com/job_detail/ebb8a346ea39d04b0nV639S4E1A~.html,10-15K·13薪,广州 天河区 东圃,1-3年,大专,Python,guangzhou,2
广州华银电子有限公司,https://www.zhipin.com/job_detail/2dde8962b16ea8a403Fy39y9ElI~.html,9-14K,广州 越秀区 东风东,1-3年,大专,python爬虫工程师,guangzhou,5
汉堂,https://www.zhipin.com/job_detail/51ccf73ca36c85ef03N439u5EFc~.html,8-13K·13薪,广州 天河区 珠江新城,1-3年,本科,Python开发（外包网易）,guangzhou,6
网易游戏,https://www.zhipin.com/job_detail/317625a0356c197d0nZz3NW0EFo~.html,10-20K,广州 天河区 沙河,3-5年,本科,Python客户端高级开发工程师,guangzhou,2
聚焦网络,https://www.zhipin.com/job_detail/e2cd5a0b328f161a1HF90t69Elo~.html,10-15K,广州 越秀区 水荫,1-3年,本科,python开发工程师,guangzhou,6
迪奥科技,https://www.zhipin.com/job_detail/5a11f5dd4090e13703x72t2-GVI~.html,6-11K,广州 天河区 高唐,1-3年,大专,python,guangzhou,3
广州诚益,https://www.zhipin.com/job_detail/bf8d2139a87333321XBy3Ni6FFo~.html,10-20K,广州  ,3-5年,本科,Python后端开发工程师,guangzhou,2
优德,https://www.zhipin.com/job_detail/5343a6d5f771c41e1Hd52d29FFc~.html,4-9K,广州 海珠区 新港,经验不限,大专,Python WEB工程师,guangzhou,5
贝业思,https://www.zhipin.com/job_detail/35b59395e017720303F82tW6FVI~.html,11-22K,广州 黄埔区 科学城,1-3年,本科,算法工程师（python MySQL),guangzhou,6
康云,https://www.zhipin.com/job_detail/46544fec1d11b57d1XF_2d27GVE~.html,8-16K,广州 黄埔区 科学城,3-5年,本科,Python 工程师,guangzhou,2
中土,https://www.zhipin.com/job_detail/5b4c35d7aca044de03J93du_EVY~.html,12-20K·13薪,广州  ,5-10年,本科,Python,guangzhou,1
时空立方,https://www.zhipin.com/job_detail/3a8a4d9ae568dc580nVy2tW1FVU~.html,8-13K·13薪,广州 天河区 珠江新城,1-3年,本科,Python开发,guangzhou,5
视源股份(CVTE),https://www.zhipin.com/job_detail/ea16d39cd2a63e0a1HF83t-_F1A~.html,15-30K,广州  ,经验不限,本科,Python后台开发(机器人),guangzhou,4
广州多益网络,https://www.zhipin.com/job_detail/beccc3a403aca6451XN90t61E1E~.html,8-16K,广州  ,1-3年,本科,Python开发工程师,guangzhou,3
多益网络,https://www.zhipin.com/job_detail/aa96c9176293e8231Xd_0t-5E1o~.html,10-15K,广州  ,1-3年,本科,Python开发工程师,guangzhou,1
广州百伦,https://www.zhipin.com/job_detail/1e83f44f8a945a5e1HZ709m8ElQ~.html,12-15K,广州 天河区 棠下,1-3年,本科,Python大数据开发工程师,guangzhou,2
中公教育,https://www.zhipin.com/job_detail/4926bde3c9e5fa4403d409u5F1A~.html,15-20K,广州 天河区 五山,3-5年,本科,IT培训Python讲师,guangzhou,4
学码教育,https://www.zhipin.com/job_detail/b6992132f1a6509a03x83dW6FFA~.html,10-15K,广州 天河区 正佳广场,1-3年,本科,讲师（Scratch/Python/C++）,guangzhou,6
网易游戏,https://www.zhipin.com/job_detail/f0b54e6196f09fcb1HZ50t66GFc~.html,15-20K,广州 天河区 天河公园,1-3年,本科,Python开发工程师,guangzhou,3
自兴信息,https://www.zhipin.com/job_detail/81fddf2e3caffa341XRz3dW4E1s~.html,30-60K,广州 天河区 猎德,5-10年,大专,python（兼职讲师）开发,guangzhou,1
广州泉涌,https://www.zhipin.com/job_detail/b454e335945f188603F-3Nu8EVU~.html,18-35K,广州 天河区 天河北,3-5年,本科,Python开发,guangzhou,3
网易,https://www.zhipin.com/job_detail/b2cf83557d8c94280nR52ti0GFc~.html,25-35K·16薪,广州 天河区 天河公园,经验不限,本科,Python开发工程师,guangzhou,2
广州市驴迹科技,https://www.zhipin.com/job_detail/ea4536a11c72ae2e0nd43du7EFQ~.html,11-20K,广州 天河区 高唐,1-3年,本科,Python后端工程师（英语）,guangzhou,1
卓越方达,https://www.zhipin.com/job_detail/e1e4caa3344538cf0nR42tW5F1U~.html,4-5K,广州 番禺区 石楼,经验不限,本科,Python工程师（驻外企）,guangzhou,5
粤嵌小创客,https://www.zhipin.com/job_detail/72ac112bee45663f03d82Nm8EFE~.html,6-10K,广州 天河区 车陂,经验不限,大专,青少年Python讲师+五险一金,guangzhou,3
有米科技,https://www.zhipin.com/job_detail/6f7e46a5c50c53391XZy2Ny5FlI~.html,16-25K,广州 番禺区 大学城,3-5年,本科,后端工程师（Python方向）,guangzhou,6
深圳市领讯云智能,https://www.zhipin.com/job_detail/e2fa1d6db193ad811XJ90t26FFQ~.html,10-15K,广州 天河区 元岗,1-3年,大专,python讲师,guangzhou,2
广州宝顺,https://www.zhipin.com/job_detail/47b96b5e7bee7b9e03d_0ti5FVc~.html,4-8K,广州 黄埔区 科学城,1年以内,大专,Python研发工程师,guangzhou,1
学码教育,https://www.zhipin.com/job_detail/90fe7cbb892d422f03x83dW6FFE~.html,10-15K,广州 越秀区 北京路,1-3年,本科,Python讲师,guangzhou,6
御德科技,https://www.zhipin.com/job_detail/4013305737a14f8a031z3t69EFQ~.html,4-8K,广州 黄埔区 科学城,经验不限,本科,Python开发工程师,guangzhou,5
国交润万交通信息,https://www.zhipin.com/job_detail/9ef3484f3d8a3dd61Hxz2dq8FlY~.html,8-12K,广州 天河区 棠下,1年以内,本科,Python开发工程师,guangzhou,3
广州易软,https://www.zhipin.com/job_detail/2cd52f1f7fa586040nV93tu5E1c~.html,3-4K,广州 天河区 岑村,1年以内,本科,python初级工程师,guangzhou,5
省省回头车,https://www.zhipin.com/job_detail/772922c9f37abc310nRz3tq_FFU~.html,12-20K·13薪,广州 天河区 东圃,1-3年,大专,python开发工程师,guangzhou,5
贝业思,https://www.zhipin.com/job_detail/e597512ef33302e403x63Ny1EFA~.html,11-16K,广州 黄埔区 科学城,3-5年,本科,高级爬虫工程师（python）,guangzhou,6
贝业思,https://www.zhipin.com/job_detail/7cc8f4ce68ed455e0nd63tu_F1Q~.html,9-14K,广州 黄埔区 科学城,3-5年,本科,python开发工程师,guangzhou,5
烹茶科技,https://www.zhipin.com/job_detail/50903d1fcd82f8231HZ53N-1F1U~.html,8-12K,广州 海珠区 琶洲,应届生,本科,初级Python后端开发工程师,guangzhou,3
汉堂,https://www.zhipin.com/job_detail/0cd7b1728769cbdd0nV639y-FVs~.html,10-15K·13薪,广州 天河区 天河公园,1-3年,本科,会Python的web前端,guangzhou,2
链云,https://www.zhipin.com/job_detail/b3d35e341b41f96303V63Ny4GVM~.html,10-15K,广州 越秀区 东风东,1-3年,学历不限,Python量化机器人开发(兼职),guangzhou,2
学码教育,https://www.zhipin.com/job_detail/e7151208b376a98e03x83dS4E1Y~.html,6-10K·13薪,广州 越秀区 北京路,经验不限,本科,少儿编程老师（scratch/Python/C语言）,guangzhou,3
立云科技,https://www.zhipin.com/job_detail/97cdb17d1850c9da1Hd_2dy6GVM~.html,9-13K·13薪,广州 白云区 黄石,1-3年,本科,Python django后端工程师,guangzhou,4
木槿科技,https://www.zhipin.com/job_detail/55bed831deb26fa603B60ty9E1Y~.html,12-20K,广州 天河区 珠江新城,1-3年,本科,java开发工程师（广州办公，熟悉python）,guangzhou,4
粤嵌小创客,https://www.zhipin.com/job_detail/f5f0550721945a0c1X1-2dy0EFE~.html,10-18K,广州 黄埔区 科学城,1-3年,大专,Python人工智能讲师,guangzhou,4
深声科技,https://www.zhipin.com/job_detail/7bfeaef2e58eb8370nxy2d-8GVE~.html,9-14K,广州  ,经验不限,本科,Python开发工程师,guangzhou,3
Fordeal,https://www.zhipin.com/job_detail/b5af2718ef264c741H142ti7ElQ~.html,15-30K·16薪,广州 海珠区 琶洲,经验不限,大专,Python爬虫工程师,guangzhou,6
悦世界,https://www.zhipin.com/job_detail/b3c5db787c162b4a1Xd-3Ny8E1U~.html,6-10K·13薪,广州 海珠区 琶洲,1年以内,本科,c++/java/python/golang转erlang服务端开发,guangzhou,3
凯泽利,https://www.zhipin.com/job_detail/a2970d145a11554303Ny2dW0Flc~.html,8-11K,广州 天河区 石牌,1-3年,本科,Python开发工程师,guangzhou,6
微宽信息,https://www.zhipin.com/job_detail/4e5e13212a981c8603d52tS1GVM~.html,15-25K,广州 海珠区 南洲,3-5年,本科,Python开发工程师,guangzhou,2
粤嵌小创客,https://www.zhipin.com/job_detail/9fca845f0bbfd2a303x-29q-GVE~.html,4-8K,广州 黄埔区 大沙,1-3年,大专,青少年Python讲师,guangzhou,2
汉堂,https://www.zhipin.com/job_detail/85b2422dbce0702203N53Ni6FFs~.html,8-13K·13薪,广州 天河区 珠江新城,1-3年,本科,游戏玩法开发工程师(python),guangzhou,1
广东傲智,https://www.zhipin.com/job_detail/f1264cd65cc1865d1HN_39i-F1Y~.html,10-15K,广州 黄埔区 科学城,1-3年,本科,Python高级开发工程师,guangzhou,6
图匠数据,https://www.zhipin.com/job_detail/100599c5f2d28d930nZ92Ni6FlM~.html,30-60K,广州 海珠区 琶洲,经验不限,硕士,分布式计算工程师（Python后台开发）,guangzhou,4
本格科技,https://www.zhipin.com/job_detail/7f469a1f889340be1H173N-_EVM~.html,6-8K,广州 天河区 长兴,1-3年,大专,全栈开发工程师前端小程序+后端Java/python,guangzhou,3
爱立信,https://www.zhipin.com/job_detail/1f309da064ce4ebd03Z939-7EVA~.html,9-13K,广州 天河区 小新塘,1-3年,本科,python开发工程师,guangzhou,4
Fordeal,https://www.zhipin.com/job_detail/27996df7a70e55041HF93d65EFE~.html,25-50K,广州 海珠区 琶洲,3-5年,本科,资深Python爬虫工程师,guangzhou,6
优债科技,https://www.zhipin.com/job_detail/94932ed2de77fa3503F43dq5FVc~.html,8-10K,广州 黄埔区 文冲,3-5年,本科,Python,guangzhou,6
勤加缘,https://www.zhipin.com/job_detail/671e4ffbc469b3781nV42Nm8GFQ~.html,3-6K,广州 天河区 棠下,应届生,本科,Python,guangzhou,1
球讯科技,https://www.zhipin.com/job_detail/ea1e8594c4282ae51nJz3N6_Elo~.html,10-15K,广州 天河区 天河公园,3-5年,本科,python爬虫开发工程师,guangzhou,6
大世科技,https://www.zhipin.com/job_detail/f87881dc2f8e2b2d03B50ty7F1U~.html,12-20K,广州 天河区 冼村,3-5年,大专,Python开发,guangzhou,4
大世科技,https://www.zhipin.com/job_detail/e1aa79f0a314c8631nN_3tu8EFQ~.html,8-12K,广州 天河区 珠江新城,1-3年,本科,python网页后端,guangzhou,6
V大夫,https://www.zhipin.com/job_detail/480363180d47e9c91XBy3dS6GFA~.html,10-20K,广州 海珠区 赤岗,3-5年,本科,Python开发工程师,guangzhou,5
连全,https://www.zhipin.com/job_detail/44b9a7c7a65d564a031z2dS4FlQ~.html,20-35K,广州 天河区 天河北,3-5年,本科,Python高级开发工程师,guangzhou,1
胜发新能源,https://www.zhipin.com/job_detail/8cb51679ffe633890nR_2920FVU~.html,9-14K,广州 天河区 珠江新城,3-5年,本科,python工程师 爬虫工程师,guangzhou,3
智慧云链,https://www.zhipin.com/job_detail/1f6cff521c1afc9003V839y5Elo~.html,7-12K,广州  ,3-5年,本科,Python开发工程师,guangzhou,4
润博科技,https://www.zhipin.com/job_detail/c07561095823bf3503V62dq4GVY~.html,3-5K,广州 天河区 五山,1-3年,学历不限,Python开发(兼职),guangzhou,1
