company_name,uri,salary,site,year,edu,job_name,city,pos_count
软通动力,https://www.zhipin.com/job_detail/9078cc694e34675c1XR92d--FVE~.html,10-15K,杭州 滨江区 长河,1-3年,本科,Python,hangzhou,3
软通动力,https://www.zhipin.com/job_detail/8a58ca75dfa93e3f1HF829S4FFI~.html,9-13K,杭州 滨江区 长河,1-3年,本科,python,hangzhou,4
博彦科技,https://www.zhipin.com/job_detail/d7887ea3aef7b9c51HVz39-7GFc~.html,12-20K,杭州 西湖区 文二路,3-5年,大专,python,hangzhou,2
海康威视,https://www.zhipin.com/job_detail/e879b79dcb207baa0nRy2Nq0EVU~.html,15-30K,杭州 滨江区 西兴,3-5年,本科,python开发,hangzhou,2
小余小余教育,https://www.zhipin.com/job_detail/da3b42a704502d1b03x_2d2-FVo~.html,15-25K,杭州 西湖区 三墩,3-5年,本科,Python,hangzhou,2
小余教育,https://www.zhipin.com/job_detail/cb12264252494a3b03x93t6_FlY~.html,15-20K,杭州  ,3-5年,本科,python,hangzhou,6
软通动力,https://www.zhipin.com/job_detail/6237f65cd89614f51HR83N-1FFs~.html,7-12K,杭州 滨江区 长河,1-3年,本科,python开发,hangzhou,2
金烽信息,https://www.zhipin.com/job_detail/6ca7219e4379d6b603N53t65FVc~.html,14-28K,杭州 滨江区 浦沿,3-5年,大专,python,hangzhou,4
杭州麦苗网络技术公司,https://www.zhipin.com/job_detail/7830c88dc9a5bdf803xz3dy8EVQ~.html,10-15K,杭州 西湖区 西溪,3-5年,本科,Python后端开发工程师,hangzhou,4
亦橙电子商务,https://www.zhipin.com/job_detail/f4a2e2fa45aa589403J62Ny0Els~.html,8-13K,杭州 江干区 九堡,1-3年,大专,python爬虫工程师,hangzhou,5
道富,https://www.zhipin.com/job_detail/13a961cd38fd6ee81HZy3921EFU~.html,15-20K,杭州 西湖区 文一路,3-5年,本科,Python,hangzhou,5
慧川智能,https://www.zhipin.com/job_detail/3c4d32d0c039910a03J72920FVc~.html,20-35K,杭州 西湖区 翠苑,5-10年,大专,高级Python,hangzhou,5
中软国际,https://www.zhipin.com/job_detail/fe5217b5bb46c6d31XF_29S5E1Q~.html,11-18K,杭州 西湖区 转塘,3-5年,大专,Python,hangzhou,1
天创进出口,https://www.zhipin.com/job_detail/5bd19915e1966e9803V439i0EVs~.html,15-20K,杭州 西湖区 文三,3-5年,本科,Python爬虫工程师,hangzhou,2
