company_name,uri,salary,site,year,edu,job_name,city,pos_count
新康众,https://www.zhipin.com/job_detail/198de03d374e3f8c0nRy3tm9FVU~.html,15-30K,南京 雨花台区 宁南,3-5年,本科,Python,nanjing,5
中软国际,https://www.zhipin.com/job_detail/4599ec52753772c103Z43Nu9Flc~.html,10-15K,南京 江宁区 砂之船奥莱,1-3年,本科,python,nanjing,1
万得,https://www.zhipin.com/job_detail/37971b114b00b47d03N82tq7FFA~.html,11-18K,南京 建邺区 奥体,1-3年,本科,Python,nanjing,2
软通动力,https://www.zhipin.com/job_detail/f6978cd68f80168103d93Ny4FVE~.html,10-15K,南京 江宁区 大学城,1-3年,本科,python,nanjing,6
赛宁网安,https://www.zhipin.com/job_detail/6cdfe696386e80fb1nF82N21FFU~.html,8-15K,南京 江宁区 ,经验不限,本科,python,nanjing,6
中软国际,https://www.zhipin.com/job_detail/716b6ebf61b5859f03x83tS5GFo~.html,9-14K,南京 江宁区 砂之船奥莱,1-3年,本科,Python开发,nanjing,4
奥本景观规划设计,https://www.zhipin.com/job_detail/4cc0720764eba7b51n1429u-GVo~.html,4-8K,南京 玄武区 珠江路,经验不限,本科,Python,nanjing,2
第三极区块链,https://www.zhipin.com/job_detail/0de49d3ca4dc40d703Z80tS4GVs~.html,9-14K,南京 鼓楼区 江东,经验不限,本科,Python,nanjing,6
newlixon,https://www.zhipin.com/job_detail/d04cbc591e0cb9521HZ_0tq8F1c~.html,10-15K,南京 雨花台区 铁心桥,3-5年,本科,Python工程师,nanjing,5
万得,https://www.zhipin.com/job_detail/4b9ff779ba6b4b3c1nZ52Nq9GFA~.html,11-20K,南京 建邺区 奥体,1年以内,本科,Python,nanjing,1
万得,https://www.zhipin.com/job_detail/785c0cad40501b7403Z52tu9GFA~.html,10-15K·14薪,南京 建邺区 奥体,1-3年,本科,python爬虫工程师,nanjing,3
北京腾信软创,https://www.zhipin.com/job_detail/c057198c108228bd03Ry2dW1F1I~.html,10-15K,南京 建邺区 奥体,5-10年,大专,Python,nanjing,3
傲梦网络科技,https://www.zhipin.com/job_detail/28d40281c6726cdb1Hd-2t-0FFc~.html,6-11K,南京 栖霞区 仙林,经验不限,本科,Python老师,nanjing,4
南京天创文化,https://www.zhipin.com/job_detail/a938af4b2844b5b31XRy3dy0GVY~.html,20-40K,南京 秦淮区 朝天宫,3-5年,硕士,Python,nanjing,2
万得,https://www.zhipin.com/job_detail/9b31e3751c6829650n152N-8FA~~.html,12-20K,南京 建邺区 奥体,1-3年,本科,Python,nanjing,5
南京星翰数字科技...,https://www.zhipin.com/job_detail/696253b60039da9c1X1y09y9F1c~.html,10-11K,南京 雨花台区 铁心桥,3-5年,大专,Python,nanjing,4
乐博乐博机器人,https://www.zhipin.com/job_detail/6f181632f4ed76f60nV509i6GFM~.html,10-12K,南京 鼓楼区 草场门,经验不限,本科,Python讲师,nanjing,2
newlixon,https://www.zhipin.com/job_detail/b7ee203ab6b8e0131HZ_0tq-EVs~.html,20-27K,南京 雨花台区 铁心桥,5-10年,本科,资深Python工程师,nanjing,3
南京有米信息科技,https://www.zhipin.com/job_detail/c0fa7e58055a2ef90nZy29W6F1I~.html,8-11K,南京 建邺区 奥体,3-5年,本科,python网络爬虫工程师,nanjing,3
Webeye,https://www.zhipin.com/job_detail/17015945f9c663351HZz2du4EFM~.html,16-30K,南京 雨花台区 铁心桥,3-5年,本科,Python后端开发工程师,nanjing,3
松勤,https://www.zhipin.com/job_detail/7805b6b395fe6dc51n192920Flc~.html,15-20K,南京 雨花台区 宁南,3-5年,本科,Python,nanjing,5
Webeye,https://www.zhipin.com/job_detail/26d83d3930dc989d1H1809W4GFM~.html,10-15K·13薪,南京 雨花台区 铁心桥,1-3年,本科,python开发,nanjing,4
创数,https://www.zhipin.com/job_detail/0688b669a23872ff1nF93t60EVM~.html,10-15K,南京 雨花台区 宁南,3-5年,大专,python爬虫工程师,nanjing,4
云帐房,https://www.zhipin.com/job_detail/868c044e9ca02a9a0nVz39i4GVI~.html,15-20K,南京 雨花台区 宁南,经验不限,本科,Python工程师,nanjing,4
艾帕斯,https://www.zhipin.com/job_detail/d05cb55cbc5544861HN92tS7EVc~.html,5-8K,南京 雨花台区 铁心桥,3-5年,本科,Python程序员,nanjing,3
购物党,https://www.zhipin.com/job_detail/1e28f4d289ee496a1nxz3dm8E1Y~.html,15-30K·13薪,南京 鼓楼区 湖南路,经验不限,本科,Python高级工程师,nanjing,1
网感至察,https://www.zhipin.com/job_detail/c29b412efe22777903N-2dW0GVo~.html,10-15K,南京 秦淮区 光华路,1-3年,本科,python工程师,nanjing,4
鑫合易家,https://www.zhipin.com/job_detail/14893eff0657bc6b0nZ82Nq4ElU~.html,8-12K,南京 浦口区 江浦,1-3年,本科,python开发工程师,nanjing,2
南京考拉网络科技,https://www.zhipin.com/job_detail/8785200ab1297d6a1HZ-3tq4GVM~.html,8-13K,南京 栖霞区 亚东,1-3年,本科,Python后端开发工程师,nanjing,3
麦佳电商,https://www.zhipin.com/job_detail/66914c6d6bd0256703V939i7F1I~.html,5-10K,南京 鼓楼区 湖南路,经验不限,大专,python爬虫工程师,nanjing,1
润和软件,https://www.zhipin.com/job_detail/a11ecdc6ee0744ff03N72ti6FVM~.html,9-14K·13薪,南京 雨花台区 铁心桥,1-3年,本科,python开发测试工程师,nanjing,5
网感至察,https://www.zhipin.com/job_detail/81fb8b1de690e96d0nRz3tW8FVM~.html,10-15K,南京 秦淮区 光华路,1-3年,本科,python（爬虫工程师）,nanjing,2
Webeye,https://www.zhipin.com/job_detail/0d60e3fcaf7b006903R-39-0EFM~.html,12-24K·13薪,南京 雨花台区 铁心桥,3-5年,本科,python开发,nanjing,1
畅索软件,https://www.zhipin.com/job_detail/2140c1674fcea44803143d-0GFY~.html,10-15K·13薪,南京 雨花台区 铁心桥,3-5年,本科,Python开发,nanjing,4
感易智能,https://www.zhipin.com/job_detail/4b9590d26fb164d41XB72dy6FVQ~.html,20-40K·16薪,南京 栖霞区 仙林,3-5年,硕士,python后端-南京,nanjing,2
欧奔软件,https://www.zhipin.com/job_detail/cc3c76e1193e84ff0nR929i-GFs~.html,7-8K,南京 秦淮区 洪武路,经验不限,本科,Python开发工程师,nanjing,4
南京罗杰软件发展...,https://www.zhipin.com/job_detail/85c3acfb4ede4fec1Hx80tW0GFM~.html,10-15K,南京 秦淮区 常府街,1-3年,大专,Python开发工程师,nanjing,4
谷芽数据,https://www.zhipin.com/job_detail/21508e6e7d2c88f503R609-8EFc~.html,8-13K,南京 建邺区 小行,1-3年,本科,Python开发工程师,nanjing,4
万得资讯,https://www.zhipin.com/job_detail/d9bcbbb6e56702dc03Zy39m9EVc~.html,11-20K,南京 建邺区 奥体,3-5年,本科,python爬虫开发,nanjing,2
云思创智,https://www.zhipin.com/job_detail/9be5754120dea3841nx_2tm1FVU~.html,15-25K,南京 玄武区 徐庄软件园,3-5年,本科,高级Python工程师,nanjing,1
润和软件,https://www.zhipin.com/job_detail/1cc2745bca3f6e400nR-2ti9GFY~.html,8-13K·13薪,南京 雨花台区 铁心桥,1-3年,本科,Python开发测试,nanjing,5
趋势科技,https://www.zhipin.com/job_detail/f0ca83a81ca3cffe1XB529W9GFQ~.html,15-20K,南京 雨花台区 铁心桥,1-3年,本科,资深软件开发工程师 - Python/Java,nanjing,6
华为成都,https://www.zhipin.com/job_detail/5c55dffc975f9e7303Z42d68FVA~.html,22-30K,南京 雨花台区 安德门,3-5年,本科,南京_C++ 急招C++ Python JAVA工程师,nanjing,4
孩子王,https://www.zhipin.com/job_detail/ae10e8817854ec9f1XZ_3Ny0GVE~.html,12-20K,南京 江宁区 东山,3-5年,本科,python运维开发工程师,nanjing,1
傲梦网络科技,https://www.zhipin.com/job_detail/f60bdd69ee8e7cb11HF80964FFA~.html,6-11K,南京 玄武区 珠江路,经验不限,本科,Python线上讲师,nanjing,5
毕马威智能创新空间,https://www.zhipin.com/job_detail/18898cda4d72b7320nZ_3dW5F1M~.html,10-15K·13薪,南京 鼓楼区 江东,1-3年,本科,Python工程师,nanjing,5
鑫合易家,https://www.zhipin.com/job_detail/67ea322283f6f73e03Zz3tS-E1M~.html,8-12K,南京  ,1-3年,本科,python开发工程师,nanjing,5
南京四象,https://www.zhipin.com/job_detail/5658750c4d6c87ae1Xx-0ty7GFo~.html,10-15K,南京 江宁区 东山,经验不限,本科,Python后端开发工程师,nanjing,5
升智科技,https://www.zhipin.com/job_detail/db1be8b7d67680b503B93dm7FlI~.html,15-20K·14薪,南京 雨花台区 铁心桥,3-5年,本科,高级Python开发,nanjing,2
控维通信科技,https://www.zhipin.com/job_detail/1bfdb74169babdac1X1939i8ElM~.html,7-10K,南京 江宁区 麒麟镇,1年以内,本科,Python开发工程师,nanjing,4
迪普思数据,https://www.zhipin.com/job_detail/e8b17d8832e5f0d81HFy092-GFA~.html,8-13K,南京 秦淮区 集庆路,1-3年,大专,Python高级工程师(南京),nanjing,2
Webeye,https://www.zhipin.com/job_detail/a7e86e9ac3c96d1d03R90ti8E1E~.html,15-30K,南京 雨花台区 铁心桥,1-3年,本科,后端开发工程师（python）,nanjing,6
如皋中软,https://www.zhipin.com/job_detail/c095aac613db435e03x-0969Flc~.html,12-17K·13薪,南京 栖霞区 燕子矶,3-5年,本科,java、python双方向讲师,nanjing,1
newlixon,https://www.zhipin.com/job_detail/d6740a40638d0da403Fy3Nq4EVs~.html,10-15K,南京 雨花台区 铁心桥,3-5年,本科,Python高级开发工程师,nanjing,3
欣泽科技,https://www.zhipin.com/job_detail/a7e30603eeccb0d703182N2-EFU~.html,15-20K·13薪,南京 栖霞区 仙林,3-5年,本科,Python全栈工程师,nanjing,2
众安信息,https://www.zhipin.com/job_detail/34c20ad17aae319d03B929y_GFI~.html,8-13K·14薪,南京 江宁区 百家湖,1-3年,本科,python开发工程师,nanjing,4
白鸥网络科技有限公司,https://www.zhipin.com/job_detail/02f4b31ab8818a4a1HFz3du_FVM~.html,4-8K,南京 栖霞区 燕子矶,1-3年,大专,Python开发爬虫工程师,nanjing,1
中电广通,https://www.zhipin.com/job_detail/17f8e6c0e9aa90ab031_29W0EVE~.html,10-15K,南京  ,3-5年,本科,Python开发工程师,nanjing,6
众安信息,https://www.zhipin.com/job_detail/5a1eb3f8304bac5203B92920E1A~.html,9-14K,南京 江宁区 百家湖,1-3年,本科,python开发工程师,nanjing,5
第三极区块链,https://www.zhipin.com/job_detail/6c1ea23e8dd142db03B839S_GVc~.html,9-14K,南京 鼓楼区 江东,经验不限,本科,Python开发工程师,nanjing,5
南京博管,https://www.zhipin.com/job_detail/5bb1250df983e1c91HBz29q4FFY~.html,10-15K,南京 玄武区 锁金村,1-3年,本科,Python开发工程师,nanjing,6
白鸥网络科技有限公司,https://www.zhipin.com/job_detail/c3203fd6c53c68bd1HZ82N24F1U~.html,5-10K,南京 栖霞区 燕子矶,1-3年,本科,Python工程师,nanjing,2
清晓科技,https://www.zhipin.com/job_detail/4e1095987fede8181HJz3Ny6FlY~.html,3-5K,南京 栖霞区 亚东,经验不限,本科,Python教师,nanjing,3
云思创智,https://www.zhipin.com/job_detail/f38b3d3c5c33bba71Xdz2tq7E1U~.html,12-20K,南京 玄武区 徐庄软件园,1-3年,本科,Python高级开发工程师,nanjing,4
川陀大匠,https://www.zhipin.com/job_detail/8e602aa7e5ae4fab1XR63tW0EFo~.html,5-9K,南京 建邺区 奥体,经验不限,学历不限,python web,nanjing,5
北信源软件,https://www.zhipin.com/job_detail/c7fa11fd1022eb181XN73dy9F1E~.html,8-16K,南京  ,3-5年,大专,高级python开发工程师,nanjing,3
江苏万和,https://www.zhipin.com/job_detail/b2394c06f66ee2791HB93N28Els~.html,10-15K,南京 秦淮区 洪家园,1-3年,本科,Python讲师,nanjing,3
今日头条,https://www.zhipin.com/job_detail/2b19a527723b64df1Hx_2Ny-GVo~.html,30-60K,南京 建邺区 奥体,3-5年,本科,资深Python研发工程师,nanjing,1
万得,https://www.zhipin.com/job_detail/1f44a3e4a9927ae603F73NS5EVI~.html,13-26K,南京 建邺区 雨润大街,经验不限,本科,Python爬虫,nanjing,6
小米,https://www.zhipin.com/job_detail/8f6f706eb39875251HR42dS4FVo~.html,15-25K,南京 建邺区 奥体,1-3年,本科,Python后端开发工程师,nanjing,3
今日头条,https://www.zhipin.com/job_detail/d63dd64bab54114303R-2du9GFU~.html,25-50K,南京 建邺区 奥体,3-5年,本科,资深Python研发工程师,nanjing,1
南京紫津融畅信息科技,https://www.zhipin.com/job_detail/ed1c178ec30e479c03Zy2d21FlU~.html,5-7K,南京 建邺区 奥体,1年以内,本科,Python 工程师,nanjing,1
