company_name,uri,salary,site,year,edu,job_name,city,pos_count
绛门科技,https://www.zhipin.com/job_detail/097276ac7a2f071803Zz2d25FlA~.html,9-14K,上海 徐汇区 漕河泾,3-5年,本科,Python（上海360）,shanghai,5
软通动力,https://www.zhipin.com/job_detail/c4cd47cc11d05c0b03N53Nu-EFc~.html,12-23K,上海 浦东新区 陆家嘴,3-5年,本科,python,shanghai,4
ZStack,https://www.zhipin.com/job_detail/b1fae466313ab2d30nZz09u9GVA~.html,15-25K,上海 闵行区 吴泾,1-3年,本科,python后端,shanghai,3
圆通速递,https://www.zhipin.com/job_detail/7441219e2d4e4b7703J-3du0E1M~.html,15-25K·13薪,上海 青浦区 虹桥枢纽周边区,3-5年,本科,python,shanghai,1
荣隆教育,https://www.zhipin.com/job_detail/daa166a58b2eefa703B92d24F1c~.html,20-30K,上海 浦东新区 陆家嘴,3-5年,本科,Python兼职讲师,shanghai,5
绿谷泰坤堂,https://www.zhipin.com/job_detail/f0bfd86ef838ed281HF52dm6GFI~.html,12-24K,上海 浦东新区 塘桥,3-5年,大专,Python工程师,shanghai,2
熵简科技,https://www.zhipin.com/job_detail/7f189b335f641f1b03N50tq8ElY~.html,15-25K,上海 杨浦区 周家嘴路,1-3年,本科,Python,shanghai,6
傲梦网络科技,https://www.zhipin.com/job_detail/b76326ac1c2ea5311HF_29q4Flo~.html,8-12K,上海  ,1-3年,本科,Python课程研发,shanghai,5
傲梦网络科技,https://www.zhipin.com/job_detail/e09f10c5c05ab9681HZ4392_FFE~.html,6-11K,上海 长宁区 北新泾,经验不限,本科,python编程老师,shanghai,6
波科,https://www.zhipin.com/job_detail/537dc00b8481fdb603d63Nu8GFM~.html,20-30K,上海 黄浦区 五里桥,3-5年,本科,Python数据工程师,shanghai,2
仟传,https://www.zhipin.com/job_detail/ad26fe318cce56d803Z83d21EFM~.html,11-12K·13薪,上海 徐汇区 田林,1-3年,本科,Python,shanghai,6
Student.com,https://www.zhipin.com/job_detail/fcdebaaa1a9fef0803F83tW1EFY~.html,11-20K,上海 静安区 江宁路,1-3年,本科,Python开发工程师,shanghai,2
傲梦网络科技,https://www.zhipin.com/job_detail/f5d6328f6bd1eb6c1HF_29i7GFo~.html,5-10K,上海  ,经验不限,本科,Python讲师,shanghai,6
环思智慧,https://www.zhipin.com/job_detail/4aa2853b880711241nZ829y7EFU~.html,10-20K,上海 浦东新区 金桥,1-3年,本科,Python,shanghai,4
傲梦网络科技,https://www.zhipin.com/job_detail/d7ac9983bcabdcf81XB62968FlE~.html,6-7K,上海 长宁区 北新泾,经验不限,本科,Python老师,shanghai,3
若博若博教育,https://www.zhipin.com/job_detail/865c7f10b0815ca00nVz3dW_ElU~.html,5-8K,上海 静安区 大宁,经验不限,大专,python教师,shanghai,5
春笛信息科技,https://www.zhipin.com/job_detail/d0d7618553f4e4be1Xxz2tW9GVE~.html,13-20K,上海 浦东新区 唐镇,3-5年,本科,Python,shanghai,4
易路软件,https://www.zhipin.com/job_detail/5bd3e5eb8cc2027f1HB-2tW6FFY~.html,15-20K,上海 闵行区 虹桥,3-5年,本科,python工程师,shanghai,1
今日头条,https://www.zhipin.com/job_detail/324ff27283f6dd4903J839-6Els~.html,25-40K,上海 杨浦区 五角场,3-5年,本科,Python开发工程师,shanghai,1
若博若博教育,https://www.zhipin.com/job_detail/ec81ba37aa0d54980nd709y0EFA~.html,5-8K,上海 长宁区 天山,经验不限,大专,机器人python编程教师,shanghai,5
中畅科技,https://www.zhipin.com/job_detail/4949fdf7655122d81HV70t24FVE~.html,11-20K,上海 静安区 江宁路,3-5年,本科,Python,shanghai,6
担路网,https://www.zhipin.com/job_detail/e2b7d25259a8e6bd0nJz3ty5GA~~.html,5-10K,上海 松江区 九亭,经验不限,本科,python工程师,shanghai,3
ATA,https://www.zhipin.com/job_detail/47dc36ed79b82e4a0nZ83t6_EVQ~.html,12-13K,上海 浦东新区 张江,3-5年,本科,Python开发工程师,shanghai,4
上海特临,https://www.zhipin.com/job_detail/fa925394d3739b681XRy2tm0F1A~.html,12-24K,上海 闵行区 浦江,3-5年,本科,Python工程师,shanghai,5
软通动力,https://www.zhipin.com/job_detail/966c7cfbdabb9ef30nR40926GFc~.html,11-20K,上海 浦东新区 金桥,经验不限,本科,Python自动化测试,shanghai,3
百度,https://www.zhipin.com/job_detail/2aeff0c274e55ed41X152Nq4FFs~.html,25-50K,上海 浦东新区 张江,3-5年,本科,Python 工程师,shanghai,6
