company_name,uri,salary,site,year,edu,job_name,city,pos_count
腾讯,https://www.zhipin.com/job_detail/d70748aa24d71c551nZ92Nm8FVc~.html,25-50K,深圳 南山区 科技园,3-5年,本科,Python,shenzhen,6
腾讯,https://www.zhipin.com/job_detail/98f36fd529eff4e61Xd40tW1GFM~.html,20-30K,深圳 南山区 科技园,3-5年,本科,Python,shenzhen,3
武汉佰钧成,https://www.zhipin.com/job_detail/301df4aeb4bd78941nV-3dm-E1Y~.html,7-14K,深圳  ,1-3年,本科,python,shenzhen,5
软通动力,https://www.zhipin.com/job_detail/c45002d8f44bbd2803R42N60EVc~.html,11-20K,深圳 龙岗区 坂田,3-5年,本科,Python,shenzhen,3
软通动力,https://www.zhipin.com/job_detail/8442917f2a0c84b21XFy2Nm_ElU~.html,13-26K,深圳 龙岗区 坂田,3-5年,本科,Python开发,shenzhen,3
成都迈思创智科技公司,https://www.zhipin.com/job_detail/05d8141927a4901803x62tm_GVo~.html,13-17K,深圳 福田区 会展中心,3-5年,本科,Python,shenzhen,5
软通动力信息技术集团,https://www.zhipin.com/job_detail/34cf17a8b910ac871HZz2tq7F1o~.html,8-13K,深圳 龙岗区 坂田,1-3年,本科,python,shenzhen,3
公狼网络跨境电商,https://www.zhipin.com/job_detail/6048de5749565fc81HZ539-4EFs~.html,10-15K,深圳 龙岗区 坂田,1-3年,大专,Python工程师,shenzhen,6
智码联动,https://www.zhipin.com/job_detail/d9164ddf9bb9b90903x529m-FVI~.html,10-11K,深圳 龙华区 民治,1年以内,本科,Python,shenzhen,3
途灵旅行,https://www.zhipin.com/job_detail/84c85801c1cafbb31XV509m4FVI~.html,8-16K,深圳 龙岗区 坂田,1-3年,本科,Python,shenzhen,4
成都迈思创智科技公司,https://www.zhipin.com/job_detail/75a3b9348b19269403x62dy5EVc~.html,10-15K,深圳 福田区 会展中心,3-5年,本科,Python开发,shenzhen,3
纬创软件,https://www.zhipin.com/job_detail/498ae03fb582c0b70nZ42Nu-FVQ~.html,8-13K·13薪,深圳 南山区 蛇口,1-3年,本科,Python工程师（粤语）,shenzhen,5
成都迈思创智科技公司,https://www.zhipin.com/job_detail/5d2f90416eba23b20nV52NS5FVc~.html,10-13K,深圳 福田区 会展中心,3-5年,本科,Python工程师,shenzhen,4
客路旅行,https://www.zhipin.com/job_detail/023c0c20752c998a03Z93Nu1GFE~.html,12-24K,深圳 福田区 沙头,1-3年,本科,Python工程师,shenzhen,5
客路旅行,https://www.zhipin.com/job_detail/1c77a36238ecceea03Z93Nq9FVI~.html,15-30K,深圳 福田区 车公庙,1-3年,本科,高级Python工程师,shenzhen,1
中联创新,https://www.zhipin.com/job_detail/738dee26f0a6a0260nRz3du9FVc~.html,15-25K,深圳 福田区 梅林,1-3年,本科,Python工程师,shenzhen,3
星商电子商务有限公司,https://www.zhipin.com/job_detail/39502497a3e73dfb0nZ_2927EVU~.html,15-30K,深圳 龙岗区 坂田,5-10年,本科,高级python工程师,shenzhen,6
澳谷智能科技,https://www.zhipin.com/job_detail/da3c21b497a049e60nV63Nu6FlU~.html,12-18K,深圳 福田区 梅林,1-3年,本科,Python软件工程师,shenzhen,3
传智播客,https://www.zhipin.com/job_detail/b82250f61ef283f703Fy0ty6ElQ~.html,30-50K,深圳 宝安区 新安,3-5年,本科,python人工智能讲师,shenzhen,5
小码教育,https://www.zhipin.com/job_detail/42a48d5f342a3a7b1XZ42tq1FFo~.html,9-15K,深圳 福田区 园岭,1年以内,本科,教学老师/Python讲师,shenzhen,2
北京币驰企业管理...,https://www.zhipin.com/job_detail/94c9319acd7b34570nZ93924GFY~.html,15-27K,深圳 宝安区 宝安机场,经验不限,学历不限,python,shenzhen,1
乐瀛科技,https://www.zhipin.com/job_detail/c3ae914805cbfe5a03F-09-5FFc~.html,10-15K,深圳 南山区 科技园,3-5年,大专,python后端,shenzhen,6
客路旅行,https://www.zhipin.com/job_detail/42140365a48e8d000nZ639-0E1I~.html,20-35K,深圳 福田区 车公庙,3-5年,本科,高级Python工程师,shenzhen,4
致力达成科技有限公司,https://www.zhipin.com/job_detail/a79aeb0b3b67524f03N82928EFA~.html,16-25K,深圳 南山区 科技园,3-5年,本科,python,shenzhen,3
小号科技,https://www.zhipin.com/job_detail/a95c96823df9ca450nd63d2_FVQ~.html,12-24K,深圳 南山区 南山中心,5-10年,本科,Python工程师,shenzhen,1
熙锐,https://www.zhipin.com/job_detail/cf13211063a6beb70nVz3dy_FFE~.html,15-20K,深圳 福田区 梅林,3-5年,本科,高级python工程师,shenzhen,1
雷特科技,https://www.zhipin.com/job_detail/d43a8f69dddbf4cb1HVy3968FFA~.html,15-30K,深圳 龙华区 龙华,3-5年,大专,python爬虫挖掘,shenzhen,1
平安科技,https://www.zhipin.com/job_detail/ffa1f02a412ab8071nxy2tW_E1o~.html,15-30K,深圳 南山区 科技园,3-5年,本科,运维开发（Java/python),shenzhen,3
顺势腾辉科技,https://www.zhipin.com/job_detail/404962da40521f6b03J-29S4F1o~.html,13-18K,深圳 南山区 科技园,3-5年,本科,python,shenzhen,2
华富洋供应链,https://www.zhipin.com/job_detail/4271a6c20f89113a03x909-9ElA~.html,10-15K,深圳 南山区 科技园,3-5年,本科,python开发,shenzhen,3
自兴信息,https://www.zhipin.com/job_detail/851c191b441511881XZ63dm5F1E~.html,30-60K,深圳 南山区 南油,5-10年,大专,python（兼职讲师）,shenzhen,4
AKULAKU,https://www.zhipin.com/job_detail/fb4778768ff229e21nJ63N21F1c~.html,15-30K,深圳 南山区 科技园,3-5年,本科,Python后台开发,shenzhen,4
铁牛时代,https://www.zhipin.com/job_detail/9b8c02cc45a3e8f11XZ-2dq1EFY~.html,8-13K,深圳 盐田区 沙头角,1-3年,本科,python工程师,shenzhen,3
成都迈思创智科技公司,https://www.zhipin.com/job_detail/5b7b5dc839fe4a1303x62t66EVc~.html,12-18K,深圳 南山区 科技园,3-5年,本科,Python开发工程师,shenzhen,1
XtalPi,https://www.zhipin.com/job_detail/e337af3f6727fe4303V40tW1E1o~.html,11-20K,深圳 福田区 石厦,1-3年,本科,Python后端工程师,shenzhen,2
雁联技术,https://www.zhipin.com/job_detail/b8156de4b71bff4403F63t-7FVU~.html,10-15K·13薪,深圳 福田区 会展中心,3-5年,本科,Python工程师,shenzhen,3
腾讯,https://www.zhipin.com/job_detail/4fc359d120ed659a1HN429S1EVU~.html,20-40K,深圳 南山区 科技园,5-10年,本科,高级运维开发工程师（python）,shenzhen,4
中软国际,https://www.zhipin.com/job_detail/057f26bb7fb9ce0503V72dW9GFI~.html,11-20K,深圳 龙岗区 坂田,3-5年,本科,python开发工程师,shenzhen,5
TP-LINK,https://www.zhipin.com/job_detail/8f8cc15e67ebae8c03J93929GVQ~.html,10-15K·16薪,深圳 南山区 科技园,经验不限,学历不限,IT软件工程师（Python开发）,shenzhen,2
超群,https://www.zhipin.com/job_detail/43b8de4765cbff5f03R-2d-4FFs~.html,20-25K,深圳 南山区 科技园,经验不限,本科,python后端开发工程师,shenzhen,5
Shopee,https://www.zhipin.com/job_detail/34d47d209592910a0nR53N25E1I~.html,10-15K,深圳 南山区 科技园,经验不限,本科,Python数据工程师,shenzhen,4
小码教育,https://www.zhipin.com/job_detail/f2aeaa314478b93303R709W1EVM~.html,10-14K,深圳 南山区 后海,1年以内,本科,python教学讲师,shenzhen,2
汇联金创,https://www.zhipin.com/job_detail/aef77bfe0aa4a0fb1XF50tu1EFY~.html,10-15K,深圳 福田区 车公庙,1-3年,本科,Python,shenzhen,4
客路旅行,https://www.zhipin.com/job_detail/db2a816bd8d172150nZ639-0FlU~.html,11-20K,深圳 福田区 车公庙,1-3年,本科,Python工程师,shenzhen,2
顺势腾辉科技,https://www.zhipin.com/job_detail/45b1335721def27103N62tu8Els~.html,12-18K,深圳 南山区 南油,3-5年,本科,Python开发工程师,shenzhen,5
美迪尔,https://www.zhipin.com/job_detail/4d27a19232de9e0b0nZ92dy9F1c~.html,15-25K·14薪,深圳 南山区 科技园,3-5年,本科,python开发,shenzhen,4
链条科技,https://www.zhipin.com/job_detail/1d9912662d5453a81HV_0tS4F1M~.html,6-10K,深圳 南山区 科技园,1-3年,大专,Python后端开发,shenzhen,6
安天,https://www.zhipin.com/job_detail/5d13c3f5b7ff82511XV_2926E1c~.html,10-15K,深圳 宝安区 西乡,1-3年,本科,python开发工程师,shenzhen,3
深圳鹏讯,https://www.zhipin.com/job_detail/0380958fdf59270a03Rz2ty1E1s~.html,10-15K,深圳 南山区 科技园,1年以内,本科,Python,shenzhen,2
Salezoom,https://www.zhipin.com/job_detail/448d0c17c4dfef430nV829u6GFI~.html,25-35K·13薪,深圳 龙华区 民治,5-10年,本科,Python 高级工程师,shenzhen,4
安吉康尔,https://www.zhipin.com/job_detail/db8704b90470b9e61HN53Nm8FFE~.html,12-16K,深圳 龙华区 龙华,3-5年,本科,Python开发工程师,shenzhen,2
华富洋供应链,https://www.zhipin.com/job_detail/30cc35c12bce8c0b03B42t65FVU~.html,10-15K,深圳 南山区 科技园,3-5年,本科,Python软件工程师,shenzhen,3
AKULAKU,https://www.zhipin.com/job_detail/629c3e0d341726fd03x50tq4FFs~.html,16-30K,深圳 南山区 科技园,3-5年,本科,Python后台开发工程师,shenzhen,5
深圳市领讯云智能,https://www.zhipin.com/job_detail/a5f63cb93c75bda91XJ90t24GFs~.html,10-15K,深圳 龙岗区 ,1-3年,大专,python讲师,shenzhen,1
纬创软件,https://www.zhipin.com/job_detail/41e75493b004334703182t-4EVI~.html,10-15K,深圳 南山区 蛇口,1-3年,本科,Python开发,shenzhen,4
微诺,https://www.zhipin.com/job_detail/8fc2c5ea512b502b1HN63tS9EFs~.html,15-30K,深圳 宝安区 新安,3-5年,本科,Python后台工程师,shenzhen,6
平安科技,https://www.zhipin.com/job_detail/4a368b477155af2c1HZ-29W9FlY~.html,15-28K,深圳 南山区 科技园,3-5年,本科,云平台运维开发（python),shenzhen,2
马上消费金融,https://www.zhipin.com/job_detail/030556ab959b42df0nV73t29EFA~.html,15-25K·14薪,深圳 福田区 景田,经验不限,本科,Python开发工程师,shenzhen,5
绿米,https://www.zhipin.com/job_detail/f118594bb0c2f76f03N729S5EVM~.html,15-20K·16薪,深圳 南山区 西丽,3-5年,本科,python开发工程师,shenzhen,5
云图智联,https://www.zhipin.com/job_detail/7883c3f1650f54391nFz3N--F1Y~.html,15-30K,深圳 福田区 车公庙,3-5年,本科,Python,shenzhen,4
绿米,https://www.zhipin.com/job_detail/2a3cde0b4e78a7f703N909u5EFs~.html,12-20K·16薪,深圳 南山区 西丽,3-5年,本科,Python开发工程师（ERP）,shenzhen,5
中软国际,https://www.zhipin.com/job_detail/f73d65ae18d8ee9d03Z70tm-E1s~.html,13-26K,深圳 龙岗区 坂田,3-5年,本科,Python开发工程师,shenzhen,3
苹果树科技,https://www.zhipin.com/job_detail/ee708d77c25ecd760nV539i1F1s~.html,15-30K·14薪,深圳 南山区 科技园,3-5年,本科,Python开发,shenzhen,5
腾讯,https://www.zhipin.com/job_detail/8999a1ba5a6f99af1nN_2tW5F1o~.html,20-40K,深圳 南山区 科技园,5-10年,本科,Python运营开发工程师,shenzhen,2
天狼,https://www.zhipin.com/job_detail/1b61707ae1252b3e031_3dm7FVY~.html,11-22K·13薪,深圳 南山区 西丽,3-5年,大专,python开发,shenzhen,1
致远速联,https://www.zhipin.com/job_detail/5eb2df946e9b788e1HB829u7FlA~.html,10-15K,深圳  ,1-3年,本科,Python数据工程师,shenzhen,6
软通动力,https://www.zhipin.com/job_detail/4944a135308275701HV93d6_FFY~.html,10-20K,深圳 龙岗区 坂田,1-3年,本科,shell（培养岗，接收Linux运维，python ）,shenzhen,3
小码教育,https://www.zhipin.com/job_detail/64322dc54844d4ca0nV53Ny8E1A~.html,8-13K·13薪,深圳 南山区 科技园,经验不限,本科,Python教学讲师（就近安排）,shenzhen,6
普特医学,https://www.zhipin.com/job_detail/c8de4e1d43a795631nJy3t24EFo~.html,20-30K,深圳 南山区 西丽,5-10年,本科,Python开发工程师,shenzhen,1
纬创软件,https://www.zhipin.com/job_detail/e597a2efff7c6b1503182ti_E1s~.html,10-15K·13薪,深圳 南山区 蛇口,1-3年,本科,python工程师,shenzhen,5
Bello,https://www.zhipin.com/job_detail/df577b34989aba050nV83Ni-ElA~.html,20-40K·13薪,深圳 南山区 科技园,3-5年,本科,Python开发工程师,shenzhen,5
荔枝微课,https://www.zhipin.com/job_detail/ebf7fe65acbeea611XN92N29FlI~.html,13-25K,深圳 南山区 科技园,1-3年,本科,Python,shenzhen,1
智慧科技,https://www.zhipin.com/job_detail/cf86f7043d0fc2fc0nZ73tu0EVE~.html,13-20K,深圳 龙岗区 布吉,3-5年,本科,Python 工程师,shenzhen,3
华为成都,https://www.zhipin.com/job_detail/12daf32bd45decf903Rz0964EVI~.html,22-30K,深圳 龙岗区 坂田,3-5年,本科,深圳 C++_急招Java，Python，C++软件工程师,shenzhen,4
嘉为科技,https://www.zhipin.com/job_detail/c3b3c71249337e9403x72d6_GVc~.html,9-13K·13薪,深圳 福田区 沙头,1-3年,本科,Python开发工程师,shenzhen,1
简易通科技,https://www.zhipin.com/job_detail/daaf8f82499fb4131Xx92dS0GFQ~.html,8-12K,深圳 龙华区 民治,1-3年,本科,Python,shenzhen,2
联觉科技,https://www.zhipin.com/job_detail/6c7b3e8b3a83a6281Hd42tm6GVM~.html,14-20K,深圳 南山区 南油,3-5年,本科,python开发工程师,shenzhen,3
国信证券,https://www.zhipin.com/job_detail/62f9212cd452b4a81HFy09-6EFU~.html,25-45K,深圳 罗湖区 蔡屋围,5-10年,本科,Python开发高级工程师,shenzhen,5
vivo,https://www.zhipin.com/job_detail/cd066763262d391203x_09y7Flo~.html,20-40K,深圳 福田区 梅林,5-10年,本科,Python开发工程师,shenzhen,2
小码教育,https://www.zhipin.com/job_detail/1cab3a24208b581603Z63Nq4EFE~.html,9-13K·13薪,深圳 福田区 竹子林,经验不限,本科,少儿编程python讲师,shenzhen,1
小步网络,https://www.zhipin.com/job_detail/a370b745acfe78be1HV82920FVY~.html,15-30K,深圳 宝安区 西乡,3-5年,本科,Python后台开发工程师,shenzhen,6
腾讯,https://www.zhipin.com/job_detail/668fa62b513226571HJ-2di9F1I~.html,20-40K,深圳 南山区 科技园,5-10年,本科,高级Python开发工程师,shenzhen,6
牧原数字技术有限公司,https://www.zhipin.com/job_detail/851866dde96f036a03V62dq1FVQ~.html,11-20K,深圳 南山区 蛇口,3-5年,本科,python开发工程师,shenzhen,6
AKULAKU,https://www.zhipin.com/job_detail/cdf7201850ead6e71nZz2dW7F1s~.html,15-30K,深圳 南山区 科技园,1-3年,本科,Python后台开发,shenzhen,4
华为技术有限公司,https://www.zhipin.com/job_detail/3648fe329b68b85903F93NW_FFM~.html,25-35K,深圳 龙岗区 坂田,5-10年,本科,软件研发工程师（C/C++/Java/Python/Go）,shenzhen,6
平安银行,https://www.zhipin.com/job_detail/d0ceb1f4fd61bf8203d63Ny9FlI~.html,15-25K,深圳 福田区 保税区,3-5年,本科,Python开发工程师,shenzhen,3
