company_name,uri,salary,site,year,edu,job_name,city,pos_count
旷视MEGVII,https://www.zhipin.com/job_detail/d3260338568f75cd03x60t6-E1c~.html,15-30K·14薪,武汉 江夏区 光谷东,3-5年,本科,Python,wuhan,6
武汉安天,https://www.zhipin.com/job_detail/df97dd26ec6c209b0XZy09q_EA~~.html,10-15K,武汉 洪山区 光谷,3-5年,本科,Python,wuhan,5
森果,https://www.zhipin.com/job_detail/22f3bb2f499ddf2b03Jz09W-GFY~.html,9-14K,武汉 江夏区 流芳,经验不限,本科,Python,wuhan,1
睿之航,https://www.zhipin.com/job_detail/fe6a3a4198eb1c301XZ509S0FVA~.html,8-12K,武汉 洪山区 花山,1-3年,大专,Python,wuhan,5
世纪恒程知识产权,https://www.zhipin.com/job_detail/022301227c457ea50nV_39W-ElQ~.html,6-8K,武汉 洪山区 光谷,1-3年,大专,Python工程师,wuhan,1
傲梦网络科技,https://www.zhipin.com/job_detail/dbd2207c281493041HB609W7FVA~.html,5-10K,武汉 江汉区 北湖,经验不限,本科,Python讲师,wuhan,5
星商电子商务有限公司,https://www.zhipin.com/job_detail/427976de7b4a2a8003Nz2NS_ElE~.html,8-13K,武汉 洪山区 关山,1-3年,本科,python开发工程师,wuhan,1
金信润天武汉分公司,https://www.zhipin.com/job_detail/4278b904d0a2507f1HR42d66GVQ~.html,8-13K,武汉 洪山区 卓刀泉,1-3年,大专,Python讲师,wuhan,1
软通动力,https://www.zhipin.com/job_detail/ed0660d5aa125ad003xy2t60EFA~.html,12-20K,武汉 洪山区 花山,经验不限,本科,python 开发,wuhan,5
绿盟科技,https://www.zhipin.com/job_detail/db7055d31ac753581nN629--EVA~.html,10-20K,武汉 洪山区 珞狮南路,经验不限,本科,Python研发工程师,wuhan,1
青云,https://www.zhipin.com/job_detail/5f0fe18e5c87dac61X1429u9E1I~.html,14-28K,武汉 洪山区 光谷,3-5年,本科,Python工程师,wuhan,3
乐谷游戏,https://www.zhipin.com/job_detail/0cec5a7c6cbad8d11nx-09S0FlE~.html,5-10K,武汉 洪山区 珞狮南路,1-3年,大专,Python程序员,wuhan,5
积善科技,https://www.zhipin.com/job_detail/d600120f9905da8903N53dq0F1I~.html,8-12K·13薪,武汉 洪山区 关山,1-3年,本科,Python工程师,wuhan,6
深圳市领讯云智能,https://www.zhipin.com/job_detail/c107134b059e579e1HB92tu9ElA~.html,15-25K,武汉 武昌区 积玉桥,1-3年,大专,python讲师(兼职),wuhan,2
诸相网络,https://www.zhipin.com/job_detail/3530e82c6773979703Jz3NW6FFE~.html,7-12K,武汉 洪山区 光谷,1-3年,大专,python开发工程师,wuhan,1
惊叹号,https://www.zhipin.com/job_detail/7ae45031324d1a910nV62t61EFU~.html,10-14K,武汉 洪山区 珞狮南路,1-3年,本科,Python后端工程师,wuhan,1
绛门科技,https://www.zhipin.com/job_detail/023aa51f4fe003ce03B73NS-E1Y~.html,7-10K,武汉 洪山区 光谷,经验不限,本科,Python开发,wuhan,3
绛门科技,https://www.zhipin.com/job_detail/cbad97cfe3151a051HR-2Nq8FlA~.html,10-15K,武汉 洪山区 光谷,3-5年,本科,python开发,wuhan,6
绛门科技,https://www.zhipin.com/job_detail/56fe1f4d530cc4dd1Hx42dS7EVU~.html,8-12K,武汉 洪山区 光谷,3-5年,本科,Python开发工程师（武汉-360）,wuhan,2
易佰网络武汉分公司,https://www.zhipin.com/job_detail/1a80128084da04d90nZ82d-9EVc~.html,6-10K,武汉  ,1-3年,本科,python数据分析师,wuhan,5
北京和信创天,https://www.zhipin.com/job_detail/2960a709e10dff1703J409-_FVE~.html,8-10K,武汉 武昌区 水果湖,1-3年,大专,python开发工程师,wuhan,3
中诚签,https://www.zhipin.com/job_detail/0d235dfc3e378c9103x63921EFE~.html,13-23K,武汉 洪山区 关山,5-10年,本科,高级python开发,wuhan,6
六次方,https://www.zhipin.com/job_detail/c7228562880cc68003F-2di9FFM~.html,6-7K,武汉 武昌区 积玉桥,1-3年,大专,Python开发,wuhan,1
奇安信集团,https://www.zhipin.com/job_detail/66e519d2add7f0e61XF53N65ElQ~.html,2-4K,武汉 洪山区 光谷,经验不限,本科,Python研发实习生,wuhan,4
北京驰诺佳,https://www.zhipin.com/job_detail/06a963ccea77cef803x939q5EFc~.html,15-25K,武汉 洪山区 光谷,5-10年,本科,高级python工程师,wuhan,4
珠海卓锐高科,https://www.zhipin.com/job_detail/449fe2cbe099ece10nV_09-1E1U~.html,8-13K,武汉 江汉区 常青,1-3年,本科,python研发工程师,wuhan,6
青云,https://www.zhipin.com/job_detail/34f51a04af69980e1Xd52NW7EFE~.html,15-30K,武汉 洪山区 光谷,3-5年,本科,Python工程师,wuhan,4
速云星博,https://www.zhipin.com/job_detail/5af5548e3efe82b503d53Ny-FVM~.html,10-15K,武汉 洪山区 光谷,5-10年,本科,Python开发工程师,wuhan,6
楚精灵,https://www.zhipin.com/job_detail/2d75d956480226d10nZ73du1E1E~.html,7-12K,武汉 洪山区 街道口,1-3年,本科,Python开发工程师,wuhan,4
积善科技,https://www.zhipin.com/job_detail/1671384ea46707331HZ52928E1o~.html,8-12K·13薪,武汉 洪山区 关山,1-3年,本科,Python后台工程师,wuhan,1
武汉从心,https://www.zhipin.com/job_detail/dfb077bf42c8651b1XR92tS1EVE~.html,12-24K,武汉 洪山区 光谷,3-5年,大专,Python研发工程师,wuhan,6
计算机技术以及应用所,https://www.zhipin.com/job_detail/fcd1d7a346fbcaa603x93Ny1F1c~.html,5-10K,武汉 东西湖区 三店,1-3年,本科,python开发工程师,wuhan,2
星商电子商务有限公司,https://www.zhipin.com/job_detail/1cb802048556042503Bz2di1EVY~.html,8-13K,武汉 洪山区 关山,3-5年,本科,Python开发工程师,wuhan,2
武汉联合创想,https://www.zhipin.com/job_detail/65296c49a5c287a003B93tm6EVs~.html,10-15K,武汉 洪山区 光谷,3-5年,大专,python工程师,wuhan,2
编程猫,https://www.zhipin.com/job_detail/b6f634f02cc417c20nV-2d66EVY~.html,8-13K,武汉 洪山区 光谷,经验不限,本科,青少儿python老师,wuhan,2
蓝泰源信息技术,https://www.zhipin.com/job_detail/a66edb7251436fa41XF50tS6EFo~.html,8-12K,武汉 江夏区 流芳,3-5年,大专,python开发工程师（中级）,wuhan,2
量投网络,https://www.zhipin.com/job_detail/b86f1db820a86aa603Ry2tW5Elc~.html,9-11K·13薪,武汉 江夏区 光谷,1-3年,本科,Python开发工程师,wuhan,1
微桌,https://www.zhipin.com/job_detail/61512e7d3dd3820d03F83tq8GFY~.html,15-25K·13薪,武汉 洪山区 光谷,5-10年,本科,python开发工程师,wuhan,3
康博嘉,https://www.zhipin.com/job_detail/cb26fefd297befb11nB72Ni-E1Y~.html,6-9K·14薪,武汉 洪山区 光谷,经验不限,本科,python工程师,wuhan,6
武汉人数科技有限...,https://www.zhipin.com/job_detail/42bd9068ad8ce30b03F93ty0GVM~.html,10-15K·13薪,武汉 洪山区 光谷,1-3年,本科,python后端开发,wuhan,2
乐谷游戏,https://www.zhipin.com/job_detail/48d98e8e7498512f1nJ529q5EFE~.html,6-12K,武汉 洪山区 珞狮南路,1-3年,本科,Python程序员,wuhan,1
奇安信集团,https://www.zhipin.com/job_detail/0d5a7d5a97614d4a1n143tq1F1Q~.html,12-24K,武汉 洪山区 光谷,1-3年,本科,Python研发工程师,wuhan,4
易佰网络武汉分公司,https://www.zhipin.com/job_detail/cd9e9f62d034c5210nZ73d65E1Y~.html,8-12K,武汉  ,经验不限,本科,Python数据分析师,wuhan,4
丰巢科技,https://www.zhipin.com/job_detail/fa3c5bfd2d3113a30nR93Nu-EFU~.html,11-20K·15薪,武汉 江夏区 光谷东,3-5年,本科,Python开发工程师,wuhan,2
湃睿信息科技,https://www.zhipin.com/job_detail/9e8a50ea8c5efa4803d-3ti6ElM~.html,16-25K,武汉 洪山区 光谷,5-10年,本科,资深Python开发工程师,wuhan,3
慧通远达,https://www.zhipin.com/job_detail/9881bc78b1ea559d03x_3di7E1o~.html,6-11K,武汉 江汉区 常青,1-3年,大专,Python高级开发工程师,wuhan,6
武汉睿智视讯科技,https://www.zhipin.com/job_detail/598442b952c5aaed1ndy3t21EFY~.html,10-20K,武汉 洪山区 光谷,3-5年,本科,python开发工程师,wuhan,6
绛门科技,https://www.zhipin.com/job_detail/93709d5581020a671HN62d-4EVo~.html,10-11K,武汉 洪山区 光谷,3-5年,本科,python后台开发,wuhan,1
武汉无忧分发,https://www.zhipin.com/job_detail/97d9d59211da993d03N739m8EVY~.html,15-30K,武汉 洪山区 光谷,3-5年,本科,Python技术经理,wuhan,5
武汉编程猫,https://www.zhipin.com/job_detail/ca5e2e30148706210nZ80t28F1I~.html,8-12K,武汉 洪山区 光谷,经验不限,本科,Python老师,wuhan,6
武汉睿智视讯科技,https://www.zhipin.com/job_detail/d30b85a4b7f866471X182969ElA~.html,8-16K,武汉 洪山区 光谷,3-5年,本科,Python开发工程师,wuhan,2
九州瀚诺,https://www.zhipin.com/job_detail/ffad4a24b4b9afab0nR-2t-0EVA~.html,12-18K,武汉 洪山区 关山,1-3年,本科,Python开发工程师,wuhan,6
慧通远达,https://www.zhipin.com/job_detail/bc6b5d443e65a6f71XV62tS7ElY~.html,10-20K,武汉 江汉区 常青,1-3年,本科,Python高级工程师,wuhan,4
朱雀闻天,https://www.zhipin.com/job_detail/647772b2984cb21503Z42tq1Fls~.html,10-15K·15薪,武汉 洪山区 光谷,1-3年,大专,Python开发工程师,wuhan,3
蓝泰源信息技术,https://www.zhipin.com/job_detail/5b73ded7fa9caea50nV92dS1FlA~.html,10-15K,武汉 江夏区 流芳,3-5年,大专,Python开发工程师,wuhan,1
武汉联合创想,https://www.zhipin.com/job_detail/2df36f9c12f14c2403dz0ti4FlU~.html,10-15K,武汉 洪山区 光谷,3-5年,大专,python开发工程师,wuhan,2
绛门科技,https://www.zhipin.com/job_detail/bde500b6f3f17c7503B70tu6EFc~.html,6-10K,武汉 洪山区 光谷,1-3年,硕士,Python开发工程师（360-武汉）,wuhan,4
北京驰诺佳,https://www.zhipin.com/job_detail/8faf5a91de1664310nZ42ty1FFQ~.html,20-25K,武汉 洪山区 光谷,3-5年,本科,高级python开发工程师,wuhan,4
