company_name,uri,salary,site,year,edu,job_name,city,pos_count
华为,https://www.zhipin.com/job_detail/d01752e174b1650103F-0t-8EFc~.html,15-30K,西安  ,3-5年,本科,Python,xian,6
软通动力,https://www.zhipin.com/job_detail/9204a3af73aefbb81XR80tW0GVU~.html,7-14K,西安 雁塔区 ,3-5年,本科,Python,xian,3
软通动力,https://www.zhipin.com/job_detail/7a701286eedb53a81HB829u5Fls~.html,10-15K,西安 雁塔区 高新软件园,1-3年,本科,Python,xian,1
软通动力,https://www.zhipin.com/job_detail/c48a3a8f596efef31HR60t69FVI~.html,11-18K,西安  ,1-3年,本科,Python,xian,2
中软国际,https://www.zhipin.com/job_detail/be75d097381340ef03d-0tm7EVA~.html,8-13K,西安 雁塔区 高新软件园,1-3年,本科,Python工程师,xian,5
傲梦网络科技,https://www.zhipin.com/job_detail/1ff197d45a88a85403R62tm5FlQ~.html,5-10K,西安 雁塔区 唐延路,经验不限,本科,Python讲师,xian,2
软通动力,https://www.zhipin.com/job_detail/74e3c7f978fe63081XV92tS9FFQ~.html,9-14K,西安 长安区 王寺,3-5年,本科,Python,xian,4
华信智慧,https://www.zhipin.com/job_detail/f8bb3865d883188f0nZ739q6EVE~.html,12-17K,西安  ,5-10年,本科,python开发,xian,6
软通动力信息技术集团,https://www.zhipin.com/job_detail/82e032c4dae8ab8d1HB_09y5F1s~.html,10-15K,西安  ,3-5年,本科,Python自动化测试,xian,1
中软国际,https://www.zhipin.com/job_detail/1c4bf5b562d423f31XZy3NS_FVA~.html,9-18K,西安 雁塔区 ,1-3年,本科,Python,xian,6
Elight,https://www.zhipin.com/job_detail/57c373d4f07b3a671Xd62tm0ElA~.html,8-15K,西安 雁塔区 唐延路,3-5年,本科,Python,xian,3
傲梦网络科技,https://www.zhipin.com/job_detail/899fcaf52987667b1HV_09S5FlI~.html,7-12K,西安 雁塔区 唐延路,经验不限,本科,Python老师,xian,6
软通动力,https://www.zhipin.com/job_detail/1d7fc9bdcc7a903e1HJ739W5F1o~.html,9-14K,西安 雁塔区 高新软件园,3-5年,本科,Python自动化,xian,2
中软国际,https://www.zhipin.com/job_detail/335d14274e449ab61X1_3tu_EFU~.html,8-16K,西安 雁塔区 高新软件园,经验不限,本科,Python开发工程师,xian,2
华信智慧,https://www.zhipin.com/job_detail/00d1e0fae78c27610nZ_39S1FVU~.html,9-14K,西安  ,3-5年,本科,Python开发,xian,5
联创佳讯,https://www.zhipin.com/job_detail/322e7b64c3fd45061Hd92dW1ElA~.html,8-13K,西安 未央区 二府庄,3-5年,本科,Python，PHP,xian,5
华信智慧,https://www.zhipin.com/job_detail/9ae129a87c6fd3a903J529i_EFA~.html,10-15K,西安  ,3-5年,本科,Python开发,xian,2
傲梦网络科技,https://www.zhipin.com/job_detail/10fe90aa91eaa42503R739m1FFU~.html,3-8K,西安 雁塔区 唐延路,经验不限,本科,python线上试听课老师,xian,5
数拓科技,https://www.zhipin.com/job_detail/b2a24b6763454e93031_3Ny7EFo~.html,7-12K·13薪,西安  ,3-5年,本科,Python开发工程师,xian,3
中软国际,https://www.zhipin.com/job_detail/c7b4ff03d57dc80a031-2dq-GFc~.html,10-15K,西安  ,3-5年,本科,高级Python开发工程师,xian,1
中软国际,https://www.zhipin.com/job_detail/b02d309f2a19bcae03d53ti5EVo~.html,9-14K,西安 雁塔区 高新软件园,3-5年,本科,软件测试&python开发,xian,6
软通动力,https://www.zhipin.com/job_detail/1bb98464ebc1b6fc1nF_2dW0F1I~.html,8-16K,西安 雁塔区 高新软件园,1-3年,本科,Python开发工程师,xian,2
中软国际,https://www.zhipin.com/job_detail/094d1a4c983ad94803B52Ni9EVE~.html,8-13K,西安 雁塔区 高新软件园,1-3年,本科,Python开发工程师,xian,1
西安飞凡软件教育,https://www.zhipin.com/job_detail/5d5c66074e701e2f1n160ty6GVQ~.html,7-11K,西安 雁塔区 高新路,1年以内,大专,Python讲师,xian,1
中软国际,https://www.zhipin.com/job_detail/35f1d85ff46f4c8903d90tW7Elo~.html,13-26K·13薪,西安 雁塔区 高新软件园,5-10年,本科,python（AI 人工智能方向）,xian,6
联创佳讯,https://www.zhipin.com/job_detail/302088f80db909b11HZ62921E1E~.html,7-12K,西安 未央区 二府庄,3-5年,本科,python程序员,xian,6
贝业思,https://www.zhipin.com/job_detail/0e35278733848baf03F82tW5GVc~.html,11-22K,西安 雁塔区 唐延路,1-3年,本科,算法工程师（python MySQL),xian,3
傲梦网络科技,https://www.zhipin.com/job_detail/325fb8d09cf21a2903V42960GFE~.html,6-8K,西安 雁塔区 唐延路,经验不限,本科,Python坐班老师,xian,4
傲梦网络科技,https://www.zhipin.com/job_detail/cb14a3a3e8e9b70603V429-0GVs~.html,6-8K,西安 雁塔区 唐延路,经验不限,本科,Python老师,xian,3
西安乐推,https://www.zhipin.com/job_detail/cf3ef17c940a267c1Hd-3ty1FlU~.html,6-10K,西安  ,1-3年,本科,Python,xian,5
绿盟科技,https://www.zhipin.com/job_detail/f5b92ed845e509c61Xd-2NS1GFc~.html,10-16K,西安  ,3-5年,本科,python开发工程师（西安）,xian,3
傲梦网络科技,https://www.zhipin.com/job_detail/285a45861775a3261HN639y5ElE~.html,6-11K,西安 雁塔区 唐延路,经验不限,本科,Python线上讲师,xian,6
天邦测绘,https://www.zhipin.com/job_detail/f2f2b7f5991c12091HJ829u_FVo~.html,6-8K,西安  ,1-3年,本科,Python工程师,xian,3
华信智慧,https://www.zhipin.com/job_detail/9f6d3f025367fed6031z3du5GVI~.html,10-15K,西安 雁塔区 高新软件园,3-5年,本科,Python开发工程师,xian,3
傲梦网络科技,https://www.zhipin.com/job_detail/752ab7d0476a10ea1XV72dq1F1I~.html,5-10K,西安 雁塔区 昆明路,经验不限,本科,python,xian,5
傲梦网络科技,https://www.zhipin.com/job_detail/861c96443258b9be03Zz2di4F1I~.html,4-7K,西安 雁塔区 唐延路,经验不限,本科,全国在线Python老师,xian,4
极客晨星,https://www.zhipin.com/job_detail/1ab250c3c9df66c303B93Nq1E1Q~.html,3-8K,西安  ,经验不限,本科,编程老师Python,xian,1
小码教育,https://www.zhipin.com/job_detail/a3845c0bfeec945e03V_29S8EFQ~.html,8-12K,西安 雁塔区 小寨,3-5年,本科,Python， C ++培训讲师,xian,4
