state/region,ages,year,population
AL,under18,2012,1117489
AL,total,2012,4817528
AL,under18,2010,1130966
AL,total,2010,4785570
AL,under18,2011,1125763
AL,total,2011,4801627
AL,total,2009,4757938
AL,under18,2009,1134192
AL,under18,2013,1111481
AL,total,2013,4833722
AL,total,2007,4672840
AL,under18,2007,1132296
AL,total,2008,4718206
AL,under18,2008,1134927
AL,total,2005,4569805
AL,under18,2005,1117229
AL,total,2006,4628981
AL,under18,2006,1126798
AL,total,2004,4530729
AL,under18,2004,1113662
AL,total,2003,4503491
AL,under18,2003,1113083
AL,total,2001,4467634
AL,under18,2001,1120409
AL,total,2002,4480089
AL,under18,2002,1116590
AL,under18,1999,1121287
AL,total,1999,4430141
AL,total,2000,4452173
AL,under18,2000,1122273
AL,total,1998,4404701
AL,under18,1998,1118252
AL,under18,1997,1122893
AL,total,1997,4367935
AL,total,1996,4331103
AL,total,1995,4296800
AL,under18,1995,1110553
AL,under18,1996,1112092
AL,total,1994,4260229
AL,total,1993,4214202
AL,under18,1993,1085606
AL,under18,1994,1097180
AL,under18,1992,1072873
AL,total,1992,4154014
AL,total,1991,4099156
AL,under18,1991,1060794
AL,under18,1990,1050041
AL,total,1990,4050055
AK,total,1990,553290
AK,under18,1990,177502
AK,total,1992,588736
AK,under18,1991,182180
AK,under18,1992,184878
AK,total,1994,603308
AK,under18,1994,187439
AK,total,1991,570193
AK,total,1993,599434
AK,under18,1993,187190
AK,total,1995,604412
AK,under18,1995,184990
AK,total,1996,608569
AK,under18,1996,185360
AK,under18,1997,188280
AK,under18,1998,192636
AK,total,1998,619933
AK,total,1997,612968
AK,under18,1999,191422
AK,total,1999,624779
AK,total,2000,627963
AK,under18,2000,190615
AK,total,2001,633714
AK,under18,2001,188771
AK,total,2002,642337
AK,under18,2002,188482
AK,total,2003,648414
AK,under18,2003,186843
AK,total,2004,659286
AK,under18,2004,186335
AK,total,2005,666946
AK,under18,2005,185304
AK,total,2006,675302
AK,under18,2006,185580
AK,total,2007,680300
AK,under18,2007,184344
AK,total,2008,687455
AK,under18,2008,183124
AK,under18,2013,188132
AK,total,2013,735132
AK,total,2009,698895
AK,under18,2009,186351
AK,under18,2010,187902
AK,total,2010,713868
AK,under18,2011,188329
AK,total,2011,723375
AK,under18,2012,188162
AK,total,2012,730307
AZ,under18,2012,1617149
AZ,total,2012,6551149
AZ,under18,2011,1616353
AZ,total,2011,6468796
AZ,under18,2010,1628563
AZ,total,2010,6408790
AZ,under18,2013,1616814
AZ,total,2013,6626624
AZ,total,2009,6343154
AZ,under18,2009,1627343
AZ,total,2007,6167681
AZ,under18,2007,1607895
AZ,total,2008,6280362
AZ,under18,2008,1628651
AZ,total,2005,5839077
AZ,under18,2005,1529168
AZ,total,2006,6029141
AZ,under18,2006,1574867
AZ,total,2004,5652404
AZ,under18,2004,1484454
AZ,total,2003,5510364
AZ,under18,2003,1453671
AZ,total,2001,5273477
AZ,under18,2001,1399015
AZ,total,2002,5396255
AZ,under18,2002,1427938
AZ,under18,1999,1332396
AZ,total,1999,5023823
AZ,total,2000,5160586
AZ,under18,2000,1373414
AZ,total,1998,4883342
AZ,under18,1998,1285794
AZ,total,1997,4736990
AZ,under18,1997,1237159
AZ,under18,1996,1215285
AZ,total,1996,4586940
AZ,total,1995,4432499
AZ,under18,1995,1173391
AZ,total,1993,4065440
AZ,under18,1993,1094233
AZ,under18,1994,1119857
AZ,total,1994,4245089
AZ,under18,1992,1055572
AZ,under18,1991,1028285
AZ,total,1991,3788576
AZ,total,1992,3915740
AZ,under18,1990,1006040
AZ,total,1990,3684097
AR,under18,1990,620933
AR,total,1990,2356586
AR,total,1991,2383144
AR,under18,1991,626212
AR,under18,1992,638269
AR,total,1992,2415984
AR,under18,1994,653842
AR,total,1994,2494019
AR,total,1993,2456303
AR,under18,1993,643474
AR,under18,1995,667671
AR,total,1995,2535399
AR,under18,1996,677912
AR,total,1996,2572109
AR,under18,1998,683637
AR,total,1997,2601091
AR,under18,1997,680203
AR,total,1998,2626289
AR,total,2000,2678588
AR,under18,2000,680378
AR,under18,1999,681940
AR,total,1999,2651860
AR,total,2002,2705927
AR,under18,2002,678798
AR,total,2001,2691571
AR,under18,2001,679606
AR,total,2004,2749686
AR,under18,2004,683166
AR,total,2003,2724816
AR,under18,2003,679579
AR,total,2006,2821761
AR,under18,2006,697842
AR,total,2005,2781097
AR,under18,2005,689787
AR,total,2008,2874554
AR,under18,2008,705725
AR,total,2007,2848650
AR,under18,2007,702737
AR,total,2009,2896843
AR,under18,2009,707886
AR,under18,2013,709866
AR,total,2013,2959373
AR,under18,2011,710576
AR,total,2011,2938506
AR,under18,2010,711947
AR,total,2010,2922280
AR,under18,2012,710471
AR,total,2012,2949828
CA,under18,2012,9209007
CA,total,2012,37999878
CA,under18,2011,9252336
CA,total,2011,37668681
CA,under18,2010,9284094
CA,total,2010,37333601
CA,under18,2013,9174877
CA,total,2013,38332521
CA,total,2009,36961229
CA,under18,2009,9294501
CA,total,2007,36250311
CA,under18,2007,9335620
CA,total,2008,36604337
CA,under18,2008,9321621
CA,total,2005,35827943
CA,under18,2005,9405565
CA,total,2006,36021202
CA,under18,2006,9370884
CA,total,2003,35253159
CA,under18,2003,9404594
CA,total,2004,35574576
CA,under18,2004,9418497
CA,total,2001,34479458
CA,under18,2001,9325466
CA,total,2002,34871843
CA,under18,2002,9365142
